cutoffs,nll_mode,nll_mode_fixed,n,min_n,num_cutoffs,k_varying,k_fixed,aic_varying,aic_fixed,bic_varying,bic_fixed
"(4, 7, 13)",80746.05268589006,80951.65784029858,"[8015, 5625, 8923, 5965]",5625,3,12,8,80758.05268589006,80959.65784029858,80750.21156897342,80954.43042902081
"(4, 7, 11)",80746.37107662189,80947.78093342327,"[8015, 5625, 6355, 8533]",5625,3,12,8,80758.37107662189,80955.78093342327,80750.52995970525,80950.5535221455
"(4, 7, 12)",80746.79961378872,80948.99236239505,"[8015, 5625, 7695, 7193]",5625,3,12,8,80758.79961378872,80956.99236239505,80750.95849687209,80951.76495111728
"(4, 7, 15)",80747.32505719778,80951.59403787901,"[8015, 5625, 11033, 3855]",3855,3,12,8,80759.32505719778,80959.59403787901,80751.48394028115,80954.36662660124
"(4, 7, 10)",80747.42099496024,80945.73185096055,"[8015, 5625, 4909, 9979]",4909,3,12,8,80759.42099496024,80953.73185096055,80751.5798780436,80948.50443968279
"(4, 5, 10)",80748.10660153083,80946.39280320442,"[8015, 1945, 8589, 9979]",1945,3,12,8,80760.10660153083,80954.39280320442,80752.2654846142,80949.16539192665
"(4, 6, 11)",80748.23540381732,80949.63473153197,"[8015, 3827, 8153, 8533]",3827,3,12,8,80760.23540381732,80957.63473153197,80752.39428690069,80952.4073202542
"(4, 6, 10)",80748.26342449841,80946.52628727106,"[8015, 3827, 6707, 9979]",3827,3,12,8,80760.26342449841,80954.52628727106,80752.42230758177,80949.29887599329
"(4, 10, 18)",80748.30973932131,80952.59585132709,"[8015, 10534, 8638, 1341]",1341,3,12,8,80760.30973932131,80960.59585132709,80752.46862240467,80955.36844004932
"(4, 7, 14)",80748.57218908466,80953.41703617305,"[8015, 5625, 10027, 4861]",4861,3,12,8,80760.57218908466,80961.41703617305,80752.73107216803,80956.18962489528
"(4, 7, 18)",80748.59049254382,80953.26514196239,"[8015, 5625, 13547, 1341]",1341,3,12,8,80760.59049254382,80961.26514196239,80752.74937562719,80956.03773068462
"(4, 10, 13)",80748.59488825631,80953.8838627634,"[8015, 10534, 4014, 5965]",4014,3,12,8,80760.59488825631,80961.8838627634,80752.75377133967,80956.65645148563
"(4, 5, 11)",80748.99052592769,80950.45322899736,"[8015, 1945, 10035, 8533]",1945,3,12,8,80760.99052592769,80958.45322899736,80753.14940901105,80953.22581771959
"(4, 10, 15)",80749.02496848385,80952.96180723501,"[8015, 10534, 6124, 3855]",3855,3,12,8,80761.02496848385,80960.96180723501,80753.18385156721,80955.73439595725
"(4, 8, 13)",80749.20405638448,80954.36628177106,"[8015, 7350, 7198, 5965]",5965,3,12,8,80761.20405638448,80962.36628177106,80753.36293946784,80957.13887049329
"(4, 10, 14)",80749.45520527329,80953.93240060988,"[8015, 10534, 5118, 4861]",4861,3,12,8,80761.45520527329,80961.93240060988,80753.61408835665,80956.70498933211
"(4, 7, 16)",80749.48782897252,80952.94630838942,"[8015, 5625, 11944, 2944]",2944,3,12,8,80761.48782897252,80960.94630838942,80753.64671205588,80955.71889711166
"(4, 6, 12)",80749.6130321798,80951.82939781879,"[8015, 3827, 9493, 7193]",3827,3,12,8,80761.6130321798,80959.82939781879,80753.77191526316,80954.60198654102
"(4, 9, 13)",80749.74322198852,80955.16098322326,"[8015, 8983, 5565, 5965]",5565,3,12,8,80761.74322198852,80963.16098322326,80753.90210507189,80957.9335719455
"(4, 7, 9)",80749.8019860858,80950.79623257637,"[8015, 5625, 3358, 11530]",3358,3,12,8,80761.8019860858,80958.79623257637,80753.96086916917,80953.5688212986
"(4, 5, 9)",80749.94889509321,80950.98450234203,"[8015, 1945, 7038, 11530]",1945,3,12,8,80761.94889509321,80958.98450234203,80754.10777817658,80953.75709106427
"(4, 6, 13)",80749.95354372225,80955.65551339589,"[8015, 3827, 10721, 5965]",3827,3,12,8,80761.95354372225,80963.65551339589,80754.11242680562,80958.42810211812
"(4, 10, 16)",80750.02126379727,80953.19081474541,"[8015, 10534, 7035, 2944]",2944,3,12,8,80762.02126379727,80961.19081474541,80754.18014688064,80955.96340346764
"(4, 9, 18)",80750.13234475502,80954.65321120332,"[8015, 8983, 10189, 1341]",1341,3,12,8,80762.13234475502,80962.65321120332,80754.29122783839,80957.42579992555
"(4, 8, 15)",80750.17732787704,80953.93639947315,"[8015, 7350, 9308, 3855]",3855,3,12,8,80762.17732787704,80961.93639947315,80754.3362109604,80956.70898819539
"(4, 9, 15)",80750.20672408171,80954.36212315377,"[8015, 8983, 7675, 3855]",3855,3,12,8,80762.20672408171,80962.36212315377,80754.36560716508,80957.134711876
"(1, 4, 10)",80750.24575005457,80947.79718511357,"[1967, 6048, 10534, 9979]",1967,3,12,8,80762.24575005457,80955.79718511357,80754.40463313794,80950.5697738358
