year,n_raw,mean_raw_delta,median_raw_delta,mode_raw_delta,var_raw_delta,n_log,mean_log_delta,median_log_delta,mode_log_delta,var_log_delta
0,1967,1.3358283247145097,1.2572908484125307,0.1506994090408842,20.590109513194037,1967,0.27971280287480593,0.22848815449517534,0.015627417998288706,1.27536744302405
1,2005,1.192176053098784,1.0635502969993507,-0.028091142693758897,24.903587973448815,2005,0.18081472933309434,0.1267182249299177,-0.023737873010653665,1.0434984684957993
2,2024,0.5168532359397892,-0.04601056200828668,-0.21036391382840414,25.93537881496326,2024,0.0727559140640522,-0.02433623069601487,-0.06668782155777175,0.9364286797988747
3,2019,0.29695447753905885,-0.05683642838789438,0.09023019007262967,28.46504689229677,2019,0.044113260230812606,-0.025384282992255036,-0.06590011593624867,0.9229308241209476
4,1945,-0.474889966277623,-0.22017470036879772,-0.3972398315020005,29.721181961851038,1945,-0.0687290786839977,-0.03193584375842873,-0.00015418238878561752,0.9181628961544608
5,1882,-0.458587720693566,-0.21481297734407168,-0.3269216949218947,25.187244304341643,1882,-0.05660121560242141,-0.03244141205334272,0.0375297490844686,0.8735255180477036
6,1798,-0.4390938394921869,-0.22707388303043974,-0.13779576019067186,26.31311343716443,1798,-0.09753950359201288,-0.03358859913878043,0.032801377103393925,0.9245067804786635
7,1725,-0.2838599891661971,-0.13124269295740154,0.1391257792278271,23.856836771415626,1725,-0.021468376716970654,-0.029206910917994655,0.009338852714156465,0.8738443908448046
8,1633,-0.21779244727240732,-0.13469225352300862,-0.41526481690805284,23.629354534627492,1633,-0.04216479043495724,-0.030461886949299632,0.014616844701275111,0.8211346939074401
9,1551,-0.25134416332383835,-0.10329019755478175,-0.410453176224415,23.33632586066182,1551,-0.047943710652681756,-0.028031540496569196,0.05077178628193835,0.8722413127406587
10,1446,-0.3174236639669449,-0.09868907115631842,0.09058208058519313,23.23914575316328,1446,-0.039655027250785166,-0.027916862227355232,-0.016364533572678752,0.848767386557841
11,1340,-0.2738615957827264,-0.11367285677578876,-0.08975437837446876,20.535161846996644,1340,-0.05709503592177927,-0.028747392547863182,-0.010606827727536405,0.8232763017850732
12,1228,-0.42740106675773903,-0.12489817319481888,-0.3222654159634004,23.135516751953663,1228,-0.08061561245495275,-0.02886478590285102,0.04633505004618388,0.8737093393208952
13,1104,-0.11814223510510902,-0.038727147881207236,-0.3783779765539492,19.25487062711771,1104,0.0005312581608655518,-0.022487178064847402,0.018897493038671387,0.8881503042374267
14,1006,-0.06320424436469277,-0.06290705724822798,-0.4590368702814125,21.971742876108674,1006,-0.005591408255934083,-0.025933816271850985,-0.09736562148750716,0.953590004486426
15,911,-0.17265035215838734,-0.06290705724822798,-0.2277679334921423,18.98372611756438,911,0.0016301164067251668,-0.02595362354468822,-0.050452151234699816,0.8022088570116328
16,835,-0.46108356806995304,-0.13803168602485982,0.17751646907511898,20.484959993359602,835,-0.11333099463692735,-0.029206910917994655,0.018161408871695706,0.8907306299351241
17,768,0.05069609289498245,0.0,1.4995920809853427,23.626678878814925,768,0.03181982003805035,0.0,-0.007610753011438209,0.8613466567859153
18,701,-0.3982896786887601,-0.07212404950969065,1.3017943834389953,19.44726144114035,701,-0.04114168039548105,-0.02627549482191749,0.03396982657422676,0.8092818618205373
19,640,-0.08468266085200357,-0.05393632464938358,0.10821089660442595,20.05814207474017,640,-0.01614509036832948,-0.025327097086006056,-0.048262780340860845,0.744354707381707
