year,n_raw,mean_raw_delta,median_raw_delta,mode_raw_delta,var_raw_delta,n_log,mean_log_delta,median_log_delta,mode_log_delta,var_log_delta
0,10000,1.7317116460708855,0.835885743174694,-0.2092866518861225,26.475693975488294,10000,0.34035714207388085,0.2271632591716986,-0.23597772354255064,0.9591327303241435
1,10000,1.01694296432276,0.2994837911113517,-0.3058771405437213,27.813019324758027,10000,0.15746881569971946,0.06051106755247787,-0.1478886876369614,0.7771936910838223
2,10000,0.6828583652430825,0.02368895454378539,-0.286548371138295,29.44199906539894,10000,0.09378893403484048,0.004296938528178418,-0.22234244795875124,0.7262019282556963
3,10000,0.3503218749745397,-0.16561294225243894,-0.42326321336518546,30.079604030714528,10000,0.04767374100196722,-0.02711230944791443,-0.23237312092257656,0.6880082976197153
4,10000,-0.4060106595539295,-0.7348411715597647,-1.0674203757245788,30.13518392461097,10000,-0.04436828479092717,-0.11998842277375532,-0.28799270727770265,0.6735921565732801
5,10000,-0.3564920558624935,-0.7203214178186348,-0.7452444041308048,28.807699118364305,10000,-0.038103902678019566,-0.11601679760673833,-0.2983987488260753,0.6937281717450673
6,10000,-0.06766443805116362,-0.463198883369039,-0.2761709054062198,28.26584736635949,10000,-0.01287901126865583,-0.08213404170401084,-0.228806399106404,0.6999814440734532
7,10000,-0.4968222136660188,-0.7699684111950011,-0.5496850044878077,23.18281091123708,10000,-0.058523657773385696,-0.13840735708534813,-0.27349818519535396,0.6536687883086625
8,10000,-0.20703631458378932,-0.5435409089535723,-0.6030542615122361,23.400641011164385,10000,-0.03187038960052636,-0.10456368378160347,-0.28427990697808037,0.6563707048090024
9,10000,-0.08899956444053392,-0.43479992318118477,-1.1104855062756709,23.212507334914452,10000,-0.004157318853969595,-0.08529713802210359,-0.23613169969582537,0.6818087008249913
10,10000,-0.12998475008271113,-0.5239083566450109,-0.6635499255576605,22.301381631552697,10000,-0.014567273470877948,-0.09870333307533397,-0.2874783615433536,0.6786639239125025
11,10000,-0.06230849270794295,-0.4429129516812834,-0.48369851858325674,22.357767470334178,10000,-0.015263858965597172,-0.08973363874340468,-0.2819032520963578,0.6851515907463139
12,10000,0.046693089251454475,-0.3874168888581137,-0.4293017987452554,22.424832939846326,10000,0.011873247440118397,-0.07374918656246376,-0.2413228081433474,0.6931010650974345
13,10000,-0.12238630348107177,-0.45543733699562794,-0.9701155194562574,18.955091253843992,10000,-0.017994258833852722,-0.08982745181770713,-0.1925307800944429,0.6192117486100501
14,10000,-0.06737508168316823,-0.4248510727006032,-0.7274235713438948,18.760926826720937,10000,-0.009122991928520301,-0.0830906324020958,-0.2439606006769648,0.6371047650984089
15,10000,0.08573755226082933,-0.3249099620930448,-0.8647477796849774,19.807952927577862,10000,0.023822681199612665,-0.06610806223396104,-0.2818953821623851,0.6473802150124082
16,10000,-0.1133848605058731,-0.47009760071494844,-0.9940842475360068,18.335138640827726,10000,-0.014429624935627874,-0.08765939239782017,-0.24275925958157707,0.6101180777594195
17,10000,-0.0032313881317422295,-0.3569076610307995,-0.054431283493109106,18.918150036437336,10000,-0.0034029018591046224,-0.0685086542243859,-0.25298047703471727,0.6293505650511374
18,10000,-0.008061117970312058,-0.40077759414203284,-0.7053184219165551,18.621941276356004,10000,-0.004070714358192536,-0.07912237501390429,-0.29116578559178374,0.6234834348888532
19,10000,0.002720567170109194,-0.42003919493047825,-0.9062657099829234,19.42975785290934,10000,-0.010109520275254984,-0.08219851239405784,-0.21714823622850643,0.645251265243013
