year,stage,n,mean_log_productivity,var_log_productivity,sd_log_productivity,mean_prod_sim,mean_log_prod_sim,var_log_prod_sim,mean_log_prod_emp,var_log_prod_emp,mean_prod_emp
0,0-4,10961,1.3893318753085704,1.2077420452459349,1.0989731776735658,4.312892346378452,1.1982171280842533,0.7936531212787536,1.0961637068079475,1.1692403159793476,4.3046789420568725
1,0-4,10961,1.3893318753085704,1.2077420452459349,1.0989731776735658,6.769740107016404,1.4271573413610983,1.0830811738382178,1.1439482072556721,1.2064738015114524,4.619203503531044
2,0-4,10961,1.3893318753085704,1.2077420452459349,1.0989731776735658,7.729407492617016,1.5188909831737734,1.1497591581708269,1.4207334740028967,1.146156101948341,5.890874640023586
3,0-4,10961,1.3893318753085704,1.2077420452459349,1.0989731776735658,8.145558736195664,1.5653826853094484,1.156930853676598,1.5979629665434971,1.1114208414007494,7.039266468767511
4,0-4,10961,1.3893318753085704,1.2077420452459349,1.0989731776735658,8.430971901953583,1.587871312501519,1.1683149348455175,1.6498323115307956,1.1520844564540584,7.484362476720373
5,5-7,6647,1.6352678885715934,1.1625620303419482,1.0782216981409474,8.480228505910848,1.5997328993655304,1.172160713999154,1.685265553414487,1.15707493250635,7.7293193247281256
6,5-7,6647,1.6352678885715934,1.1625620303419482,1.0782216981409474,8.01805360241369,1.5536330650190113,1.1483153989727566,1.6304275545781461,1.1739567632550307,7.404819046936149
7,5-7,6647,1.6352678885715934,1.1625620303419482,1.0782216981409474,7.813484904183981,1.5294329788832564,1.14004842984071,1.5874347793945172,1.1517036823424998,7.071913207324962
8,8-13,11114,1.4464246274656147,1.2379561824750869,1.1126347929464937,7.7466718048977405,1.5249723865289857,1.137240560366172,1.510005349153912,1.2085341474110953,6.734257737938087
9,8-13,11114,1.4464246274656147,1.2379561824750869,1.1126347929464937,7.345623890856446,1.4610749652594641,1.1704783743857083,1.4940184281100386,1.177234958488187,6.546520957970945
10,8-13,11114,1.4464246274656147,1.2379561824750869,1.1126347929464937,7.099735238174335,1.4165218335110394,1.1781224241885946,1.444706965183975,1.2592747596805858,6.428625690650365
11,8-13,11114,1.4464246274656147,1.2379561824750869,1.1126347929464937,6.924634801485536,1.3934566683611618,1.1843875772404302,1.4288439871510181,1.2705993764291608,6.3646264988261745
12,8-13,11114,1.4464246274656147,1.2379561824750869,1.1126347929464937,6.876832405003411,1.3851685313717998,1.1826541179722059,1.398499787478335,1.2535339285114053,6.141685701181885
13,8-13,11114,1.4464246274656147,1.2379561824750869,1.1126347929464937,6.808187058131147,1.3724332363953045,1.1848361716598805,1.3785192215292934,1.2568476222058627,6.091512897369657
14,14-20,8404,1.296129169969735,1.3589013087207185,1.1657192237930705,6.842647765335627,1.374626593989221,1.194164684509344,1.302434555710834,1.3118670309120652,5.809829616526077
15,14-20,8404,1.296129169969735,1.3589013087207185,1.1657192237930705,6.8236221164786715,1.344731619666531,1.2316866974729657,1.3069731317655027,1.3177999853750348,5.842097404055951
16,14-20,8404,1.296129169969735,1.3589013087207185,1.1657192237930705,6.721094040138239,1.330472118443513,1.233633647081278,1.318075858876188,1.335482298537959,5.929018305152409
17,14-20,8404,1.296129169969735,1.3589013087207185,1.1657192237930705,6.630766092174229,1.3172751399553964,1.2392739060068823,1.3331845951911678,1.351268304515993,6.000177970227081
18,14-20,8404,1.296129169969735,1.3589013087207185,1.1657192237930705,6.693464073781043,1.3090603062084034,1.248054687977635,1.2560226527611111,1.4464127245228413,5.775772777813434
19,14-20,8404,1.296129169969735,1.3589013087207185,1.1657192237930705,6.626365220517047,1.2986195691534237,1.2530901623345867,1.2748602175096762,1.40224858780621,5.90325623154641
20,14-20,8404,1.296129169969735,1.3589013087207185,1.1657192237930705,6.567644905326985,1.2952222276137322,1.2501121270424094,1.264634901132746,1.3793715366964232,5.797863158935677
