year,n,mean_log_delta,median_log_delta,mode_log_delta,var_log_delta,q25_log_delta,q50_log_delta,q75_log_delta,q90_log_delta,q95_log_delta
0,50000,0.228940213276845,0.2125139698111238,0.13872360517336046,1.1461394124300208,-0.5045468892407147,0.2125139698111238,0.9527232116199618,1.6219111850809063,2.0180494378356255
1,50000,0.09173364181267518,0.08804481160665145,-0.007007281308575752,1.1981285679721472,-0.6523097299456614,0.08804481160665145,0.8372817911945586,1.4990181848638109,1.8851457710515702
2,50000,0.046491702135674856,0.03977020610016807,-0.015485483546497925,1.2233540567720886,-0.6988033110723787,0.03977020610016807,0.7946483681452337,1.4680048648519166,1.8653612438817622
3,50000,0.022488627192070617,0.017734606881772752,0.016578249731173056,1.2322037879240337,-0.7271083377266647,0.017734606881772752,0.7767003837791421,1.4518201028719577,1.8547354056658971
4,50000,0.011861586864011559,0.018157028677903864,0.008298593214917549,1.2567774384342894,-0.7460381984267442,0.018157028677903864,0.766436480661674,1.4442207838777186,1.8487628825481768
5,50000,-0.046099834346519104,-0.038526331493599394,0.03341394417250765,1.0371313953547645,-0.7315856334249573,-0.038526331493599394,0.6422516619221983,1.2517179777500673,1.6287635446617663
6,50000,-0.024200086135754858,-0.021333654863236517,-0.004324378983955102,1.042937512522444,-0.7120557437786488,-0.021333654863236517,0.6621514782327396,1.28788382655003,1.6621113099334008
7,50000,-0.004460592354270637,-0.0006437405596750878,0.0036884294384162963,1.0470343718841573,-0.6954620532046555,-0.0006437405596750878,0.6847528754592684,1.3034218215655604,1.6793141066699624
8,50000,-0.06389742126952154,-0.06182193824947846,0.00911215804978105,0.9797554743801649,-0.7374659690987851,-0.06182193824947846,0.6038240114705307,1.213904249557737,1.5692733283650073
9,50000,-0.04455313174842493,-0.03899559570114075,0.015537033751017226,0.9603670835329372,-0.6940851924984995,-0.03899559570114075,0.6179259681416684,1.21239311592961,1.568027531970185
10,50000,-0.023065165149877657,-0.015299740846887469,-0.024832073264483334,0.9778954592437153,-0.6933579262723116,-0.015299740846887469,0.6401879136354074,1.2423855466529699,1.6121735795193723
11,50000,-0.008288136989361908,0.0,0.020082839374296224,0.9858052856023627,-0.672636721310407,0.0,0.6581014580921143,1.2694045409595995,1.6253067942975228
12,50000,-0.012735294976495384,0.0,0.026696748038438134,0.9829955404307477,-0.677261251172418,0.0,0.6626053738552382,1.2621745023697022,1.612945055404244
13,50000,0.002193357593916667,0.0,0.03532192998039241,0.9717350488854334,-0.6555248373320988,0.0,0.6687160179069607,1.267348566501551,1.6350068049541489
14,50000,-0.029894974322690133,-0.019066534615489766,-0.0051747137811251065,0.9302689950775992,-0.6828145528814299,-0.019066534615489766,0.6116079137652048,1.2186667638627013,1.5639484446559537
15,50000,-0.0142595012230176,-0.005466540677665888,0.027098879252128283,0.9399525708416447,-0.6702082386617307,-0.005466540677665888,0.635245975569554,1.2359245346178365,1.5904335030760335
16,50000,-0.01319697848811731,-0.001930220438043903,0.019844997821817367,0.9471800398685667,-0.6682993165984865,-0.001930220438043903,0.6400115221726805,1.2485115839132697,1.6013885439991595
17,50000,-0.008214833746992627,0.0,-0.003776794978346487,0.9325547029494293,-0.654181509703771,0.0,0.642685783243528,1.2282497354820303,1.5850347012314923
18,50000,-0.010440737054979766,-0.0024279813689838114,0.02116902859413239,0.93521543191393,-0.6543771512484454,-0.0024279813689838114,0.6323667616123676,1.2340877523115426,1.5943891724428136
19,50000,-0.0033973415396915895,0.0,-0.001941496792923214,0.9323094923623011,-0.651395058532473,0.0,0.6344821653468036,1.2397521058122931,1.6003506058696066
