year,n,frac_zero,mean_prod,median_prod,mean_log_prod,var_log_prod,q25_prod,q50_prod,q75_prod,q90_prod,q95_prod
0,50000,0.0,4.312892346378452,2.98269945533404,1.1982171280842533,0.7936531212787536,1.2336338674632414,2.98269945533404,5.980609573430572,9.970281725934184,12.873631502300546
1,50000,0.0213,6.769740107016404,3.6541988692197878,1.4271573413610983,1.0830811738382178,1.5300886219193675,3.6541988692197878,8.011466975402854,15.72250464996278,23.192921325030238
2,50000,0.0215,7.729407492617016,4.053632401402302,1.5188909831737734,1.1497591581708269,1.694289798081781,4.053632401402302,8.926122580474896,17.851080711565455,26.909145288114786
3,50000,0.01894,8.145558736195664,4.250730294823422,1.5653826853094484,1.156930853676598,1.794995316153666,4.250730294823422,9.444164840249117,18.761012510954966,27.902891818522676
4,50000,0.01858,8.430971901953583,4.357626648304395,1.587871312501519,1.1683149348455175,1.8172476205455363,4.357626648304395,9.639267746573113,19.3811725149034,28.97459083443963
5,50000,0.01858,8.480228505910848,4.429548470665279,1.5997328993655304,1.172160713999154,1.8489135399527548,4.429548470665279,9.873892255139086,19.701197587819365,29.412201648379458
6,50000,0.01944,8.01805360241369,4.1994357219366485,1.5536330650190113,1.1483153989727566,1.7703122510955143,4.1994357219366485,9.283055066175523,18.332284347979375,27.838897969144842
7,50000,0.02006,7.813484904183981,4.093213385845127,1.5294329788832564,1.14004842984071,1.718759422770169,4.093213385845127,8.933465858973289,17.94576928305786,26.88285539176515
8,50000,0.01984,7.7466718048977405,4.039683219204651,1.5249723865289857,1.137240560366172,1.6927993413606115,4.039683219204651,8.999347295056051,17.917886469075757,27.038800015130175
9,50000,0.02466,7.345623890856446,3.763472752357742,1.4610749652594641,1.1704783743857083,1.5195336975901248,3.763472752357742,8.57912740241628,17.198926972837405,25.74277779260485
10,50000,0.0277,7.099735238174335,3.5936382646805716,1.4165218335110394,1.1781224241885946,1.429977324022502,3.5936382646805716,8.113175736285003,16.420104784536182,24.90832906647957
11,50000,0.03042,6.924634801485536,3.4940612266054876,1.3934566683611618,1.1843875772404302,1.392391205499962,3.4940612266054876,7.94272702028673,16.263310304496525,24.6048402823468
12,50000,0.0306,6.876832405003411,3.448701519642718,1.3851685313717998,1.1826541179722059,1.3598197600356217,3.448701519642718,7.898486792749328,16.113489881420698,24.536291531209233
13,50000,0.0332,6.808187058131147,3.39112210957645,1.3724332363953045,1.1848361716598805,1.3482841077729464,3.39112210957645,7.793214401471255,15.848304731716404,24.15850613452254
14,50000,0.03232,6.842647765335627,3.4236325206807563,1.374626593989221,1.194164684509344,1.3207875048512536,3.4236325206807563,7.876444023208575,16.043229520530865,24.098793654730862
15,50000,0.03744,6.8236221164786715,3.273225812227607,1.344731619666531,1.2316866974729657,1.2491341620734606,3.273225812227607,7.678171744971927,15.948357292936988,24.45449996498156
16,50000,0.03862,6.721094040138239,3.2068233443970624,1.330472118443513,1.233633647081278,1.218204433845398,3.2068233443970624,7.576945435732136,15.65244381934988,24.083087039987657
17,50000,0.04054,6.630766092174229,3.1707693106526005,1.3172751399553964,1.2392739060068823,1.2030877358482122,3.1707693106526005,7.479603159906317,15.652127146789766,24.172825512397164
18,50000,0.04096,6.693464073781043,3.133446319920682,1.3090603062084034,1.248054687977635,1.1703597550952778,3.133446319920682,7.369586043615595,15.545485897755531,24.09914697544954
19,50000,0.04142,6.626365220517047,3.0718596716204716,1.2986195691534237,1.2530901623345867,1.1492448246051061,3.0718596716204716,7.360148302412071,15.456620696589866,24.104036891629786
20,50000,0.04214,6.567644905326985,3.079876956181123,1.2952222276137322,1.2501121270424094,1.1403391001881058,3.079876956181123,7.294375281684681,15.457896048575861,24.118516130839094
