year,stage,n,mean_log_productivity,var_log_productivity,sd_log_productivity,mean_prod_sim,mean_log_prod_sim,var_log_prod_sim,mean_log_prod_emp,var_log_prod_emp,mean_prod_emp
0,0-4,10961,1.389331875,1.207742045,1.098973178,4.312892346,1.198217128,0.7936531213,1.096163707,1.169240316,4.304678942
1,0-4,10961,1.389331875,1.207742045,1.098973178,6.769740107,1.427157341,1.083081174,1.143948207,1.206473802,4.619203504
2,0-4,10961,1.389331875,1.207742045,1.098973178,7.729407493,1.518890983,1.149759158,1.420733474,1.146156102,5.89087464
3,0-4,10961,1.389331875,1.207742045,1.098973178,8.145558736,1.565382685,1.156930854,1.597962967,1.111420841,7.039266469
4,0-4,10961,1.389331875,1.207742045,1.098973178,8.430971902,1.587871313,1.168314935,1.649832312,1.152084456,7.484362477
5,5-7,6647,1.635267889,1.16256203,1.078221698,8.480228506,1.599732899,1.172160714,1.685265553,1.157074933,7.729319325
6,5-7,6647,1.635267889,1.16256203,1.078221698,8.018053602,1.553633065,1.148315399,1.630427555,1.173956763,7.404819047
7,5-7,6647,1.635267889,1.16256203,1.078221698,7.813484904,1.529432979,1.14004843,1.587434779,1.151703682,7.071913207
8,8-13,11114,1.446424627,1.237956182,1.112634793,7.746671805,1.524972387,1.13724056,1.510005349,1.208534147,6.734257738
9,8-13,11114,1.446424627,1.237956182,1.112634793,7.345623891,1.461074965,1.170478374,1.494018428,1.177234958,6.546520958
10,8-13,11114,1.446424627,1.237956182,1.112634793,7.099735238,1.416521834,1.178122424,1.444706965,1.25927476,6.428625691
11,8-13,11114,1.446424627,1.237956182,1.112634793,6.924634801,1.393456668,1.184387577,1.428843987,1.270599376,6.364626499
12,8-13,11114,1.446424627,1.237956182,1.112634793,6.876832405,1.385168531,1.182654118,1.398499787,1.253533929,6.141685701
13,8-13,11114,1.446424627,1.237956182,1.112634793,6.808187058,1.372433236,1.184836172,1.378519222,1.256847622,6.091512897
14,14-20,8404,1.29612917,1.358901309,1.165719224,6.842647765,1.374626594,1.194164685,1.302434556,1.311867031,5.809829617
15,14-20,8404,1.29612917,1.358901309,1.165719224,6.823622116,1.34473162,1.231686697,1.306973132,1.317799985,5.842097404
16,14-20,8404,1.29612917,1.358901309,1.165719224,6.72109404,1.330472118,1.233633647,1.318075859,1.335482299,5.929018305
17,14-20,8404,1.29612917,1.358901309,1.165719224,6.630766092,1.31727514,1.239273906,1.333184595,1.351268305,6.00017797
18,14-20,8404,1.29612917,1.358901309,1.165719224,6.693464074,1.309060306,1.248054688,1.256022653,1.446412725,5.775772778
19,14-20,8404,1.29612917,1.358901309,1.165719224,6.626365221,1.298619569,1.253090162,1.274860218,1.402248588,5.903256232
20,14-20,8404,1.29612917,1.358901309,1.165719224,6.567644905,1.295222228,1.250112127,1.264634901,1.379371537,5.797863159
