year,n,frac_zero,mean_prod,median_prod,mean_log_prod,var_log_prod,q25_prod,q50_prod,q75_prod,q90_prod,q95_prod
0,10000,0.0,4.318664786285919,3.0190734347648633,1.2036033872235077,0.785622270262192,1.2737659733028033,3.0190734347648633,5.91870334478438,9.9581545934628,12.981017611491229
1,10000,0.0459,5.175709034540895,2.7091332275821145,1.1731610807497368,1.0963938468773813,1.0244364908839367,2.7091332275821145,6.168667488475443,12.382590731827168,18.25948799900666
2,10000,0.0252,6.834666235682089,3.6668295371326423,1.4257229295674303,1.1156787957312326,1.4979717970898672,3.6668295371326423,8.116684510591455,15.95098235372552,23.08378768338539
3,10000,0.0142,7.940605467590137,4.343536641356438,1.5854602254196244,1.0780512137094314,1.8812102956018237,4.343536641356438,9.504588044098622,18.342935977976296,27.198526379561727
4,10000,0.0148,8.519531786086658,4.574238174673056,1.6332362304415569,1.1149286589354934,1.9783278255739436,4.574238174673056,10.128071429435396,19.738370532705222,28.626358987321062
5,10000,0.0123,8.926960577451199,4.679094331769928,1.6676320072666073,1.1177379521061352,2.075929985616649,4.679094331769928,10.229259105611453,20.74394495738689,31.182323516635797
6,10000,0.015,8.650042446778711,4.608946473692681,1.6347644849135057,1.142944975713333,1.9275541808345191,4.608946473692681,10.085774711754006,20.19783196283397,29.228774392576362
7,10000,0.016,8.172320922804635,4.389127598449703,1.5836330738527327,1.1311928043700863,1.8638228691669716,4.389127598449703,9.515319735304468,18.870859867688683,28.35974236018085
8,10000,0.0228,7.903856860678934,4.108803337026789,1.5310993838410532,1.1797815352631609,1.6787652147960472,4.108803337026789,9.384007234578368,18.56954212368578,27.86518184897935
9,10000,0.0208,7.64718206106505,4.006773751083678,1.5151028044849357,1.1414437648784839,1.6610206535516876,4.006773751083678,8.984263033249412,17.808724467187037,26.567324121004894
10,10000,0.0284,7.244810375703615,3.746527256141648,1.4528635476129486,1.1702109659087305,1.5184310937920737,3.746527256141648,8.464151229528332,17.16677603037226,25.281120306162713
11,10000,0.0293,7.220083157735243,3.652607375864645,1.4289406085628171,1.186253727285714,1.4475759608926497,3.652607375864645,8.242674415168077,16.67855028868212,24.594607057396768
12,10000,0.0274,6.954494465695595,3.4933025488001714,1.4024228305244866,1.1584828350785112,1.4191546411224536,3.4933025488001714,7.973941604324978,16.0372558912707,24.265337638839938
13,10000,0.032,6.73335642559414,3.429517222380229,1.3781129617979841,1.1712965166753537,1.3673443371854772,3.429517222380229,7.79146156193908,15.731905972344002,23.874655430132997
14,10000,0.0365,6.353256054487502,3.126752182896765,1.2975981561024172,1.176981456439845,1.193878110465366,3.126752182896765,7.18026098316941,14.513614086991435,21.747446785975566
15,10000,0.0375,6.406661037733806,3.160812529565972,1.3165935896724956,1.1874667248562818,1.2036267533229572,3.160812529565972,7.423841840823798,15.311200099344582,23.151762047802936
16,10000,0.0376,6.630178164826811,3.2529517085424966,1.331930039230089,1.212818308170997,1.2270575075436851,3.2529517085424966,7.523528191379578,15.73852001559979,23.615421718479364
17,10000,0.0368,6.770487369186233,3.2588666981702925,1.3435945497128134,1.2227307573698853,1.2549263551779253,3.2588666981702925,7.601584875213024,16.02462699928166,24.162394077031326
18,10000,0.0517,6.326450071652381,2.929954124611008,1.2520721985298573,1.281299244109879,1.0660346344651823,2.929954124611008,7.045117327737446,14.997563272879168,23.237427764207403
19,10000,0.0438,6.448643622451607,3.0328105715667446,1.2811493377123733,1.248190868510526,1.1122429853658427,3.0328105715667446,7.24496514473703,15.313163711802243,23.258676960261777
20,10000,0.0449,6.264975321832519,2.969145304429244,1.2689996998420237,1.2233584578405865,1.1219599163743164,2.969145304429244,7.049451095235942,14.991812917714068,23.068659888455834
