year,stage,n,mean_log_productivity,var_log_productivity,sd_log_productivity,mean_prod_sim,mean_log_prod_sim,var_log_prod_sim,mean_log_prod_emp,var_log_prod_emp,mean_prod_emp
0,0-4,10961,1.3893318753085704,1.2077420452459349,1.0989731776735658,4.312892346378452,1.1982171280842533,0.7936531212787536,1.0961637068079475,1.1692403159793476,4.3046789420568725
1,0-4,10961,1.3893318753085704,1.2077420452459349,1.0989731776735658,9.892407190649173,1.3691741556802253,1.8141753663478337,1.1439482072556721,1.2064738015114524,4.619203503531044
2,0-4,10961,1.3893318753085704,1.2077420452459349,1.0989731776735658,21.90874169086758,1.536388714502165,2.7112655890869677,1.4207334740028967,1.146156101948341,5.890874640023586
3,0-4,10961,1.3893318753085704,1.2077420452459349,1.0989731776735658,47.768666832363756,1.7004728956872766,3.548536042543884,1.5979629665434971,1.1114208414007494,7.039266468767511
4,0-4,10961,1.3893318753085704,1.2077420452459349,1.0989731776735658,96.05399951662045,1.8596276377468335,4.383667578457456,1.6498323115307956,1.1520844564540584,7.484362476720373
5,5-7,6647,1.6352678885715934,1.1625620303419482,1.0782216981409474,195.65532764245094,2.0164679087020114,5.1980336405386565,1.685265553414487,1.15707493250635,7.7293193247281256
6,5-7,6647,1.6352678885715934,1.1625620303419482,1.0782216981409474,302.0672242982158,2.011496611162364,5.722088440667485,1.6304275545781461,1.1739567632550307,7.404819046936149
7,5-7,6647,1.6352678885715934,1.1625620303419482,1.0782216981409474,494.652037500487,2.009693101305735,6.237477095075484,1.5874347793945172,1.1517036823424998,7.071913207324962
8,8-13,11114,1.4464246274656147,1.2379561824750869,1.1126347929464937,741.5739749071315,2.0110740702670613,6.7162785454839,1.510005349153912,1.2085341474110953,6.734257737938087
9,8-13,11114,1.4464246274656147,1.2379561824750869,1.1126347929464937,1056.048917406427,2.030357598908949,7.147422325173905,1.4940184281100386,1.177234958488187,6.546520957970945
10,8-13,11114,1.4464246274656147,1.2379561824750869,1.1126347929464937,1813.5565041944328,2.043275770192463,7.578029656950514,1.444706965183975,1.2592747596805858,6.428625690650365
11,8-13,11114,1.4464246274656147,1.2379561824750869,1.1126347929464937,3200.2545004105737,2.056614511257816,7.995853153440121,1.4288439871510181,1.2705993764291608,6.3646264988261745
12,8-13,11114,1.4464246274656147,1.2379561824750869,1.1126347929464937,5205.063991000732,2.0749813420479293,8.397825379713277,1.398499787478335,1.2535339285114053,6.141685701181885
13,8-13,11114,1.4464246274656147,1.2379561824750869,1.1126347929464937,5652.228210310483,2.0867862957236127,8.755470317337966,1.3785192215292934,1.2568476222058627,6.091512897369657
14,14-20,8404,1.296129169969735,1.3589013087207185,1.1657192237930705,7945.824078474872,2.1072711349738884,9.105281360669471,1.302434555710834,1.3118670309120652,5.809829616526077
15,14-20,8404,1.296129169969735,1.3589013087207185,1.1657192237930705,13848.790978265524,2.1418548777201356,9.550632901351177,1.3069731317655027,1.3177999853750348,5.842097404055951
16,14-20,8404,1.296129169969735,1.3589013087207185,1.1657192237930705,19222.656000549137,2.177152766497949,9.979098807609,1.318075858876188,1.335482298537959,5.929018305152409
17,14-20,8404,1.296129169969735,1.3589013087207185,1.1657192237930705,30972.313562160387,2.2076506149329753,10.352952083563132,1.3331845951911678,1.351268304515993,6.000177970227081
18,14-20,8404,1.296129169969735,1.3589013087207185,1.1657192237930705,77796.03138204891,2.2403134445850745,10.762314805483047,1.2560226527611111,1.4464127245228413,5.775772777813434
19,14-20,8404,1.296129169969735,1.3589013087207185,1.1657192237930705,51870.537544668914,2.2687133420399435,11.184970491655797,1.2748602175096762,1.40224858780621,5.90325623154641
20,14-20,8404,1.296129169969735,1.3589013087207185,1.1657192237930705,97930.14308246532,2.2984198222802124,11.597470130398571,1.264634901132746,1.3793715366964232,5.797863158935677
