year,n,mean_log_delta,median_log_delta,mode_log_delta,var_log_delta,q25_log_delta,q50_log_delta,q75_log_delta,q90_log_delta,q95_log_delta
0,50000,0.17095702759597192,0.11773280468571556,-0.07683129606703787,1.1396000225615435,-0.5737292326843899,0.11773280468571556,0.8836785882507721,1.5854271928461847,1.991692617707782
1,50000,0.16721455882193964,0.0622805681632192,0.01732329821486367,1.0616125473909004,-0.500141929404864,0.0622805681632192,0.8325509703827099,1.523188756292041,1.924614976809633
2,50000,0.16408418118511162,0.018452016101206503,0.008428093074495768,1.0268213540033346,-0.45907496933525693,0.018452016101206503,0.7967526642363312,1.507193155411547,1.9169165272049835
3,50000,0.15915474205955674,0.0,-0.029410368389301222,1.0217024166149495,-0.44124590223571003,0.0,0.7793478078440768,1.4812624375232073,1.9154353574761664
4,50000,0.15684027095517794,0.0,0.001991143718621302,1.0119155743424653,-0.41732580221603727,0.0,0.7696994644373238,1.4804068536246353,1.9067071739760368
5,50000,-0.0049712975396473714,0.0,0.015306743056827443,0.8226461090607157,-0.52934669783182,0.0,0.5081330685249714,1.1666442051639767,1.5398930769941563
6,50000,-0.0018035098566289382,0.0,-0.011591107164088843,0.8065507902856783,-0.5017947727373455,0.0,0.4867120718983725,1.153985470178148,1.5478812476466848
7,50000,0.001380968961326597,0.0,-0.024514593588178757,0.7866857357692087,-0.4793270375350377,0.0,0.4775218629714393,1.143970866821395,1.5244492590613143
8,50000,0.01928352864188748,0.0,-0.01453075155377892,0.7391030035655229,-0.42932385446588783,0.0,0.47243665274963675,1.136475730849599,1.5233075659182211
9,50000,0.012918171283513857,0.0,-0.021791900816566567,0.7105164683553113,-0.4119129199404121,0.0,0.43890035044477044,1.0997251139277484,1.4895738493368158
10,50000,0.013338741065352872,0.0,-0.001934901395278743,0.7113768410676025,-0.409012109047545,0.0,0.4308689795033481,1.1034952373015603,1.4943824938182153
11,50000,0.018366830790112962,0.0,0.017511889433917016,0.7107473302149949,-0.38764828036698074,0.0,0.4332385305515577,1.099525151054901,1.491671862409946
12,50000,0.01180495367568397,0.0,-0.010826902289375218,0.6926074627692217,-0.3784531271178122,0.0,0.39887552407129356,1.0829347160091303,1.4801767270116164
13,50000,0.020484839250275808,0.0,-0.009697702085684323,0.6802390513335794,-0.3491837895919754,0.0,0.4139537223616563,1.0726279661745672,1.461029036858477
14,50000,0.03458374274624689,0.0,0.005118422627692354,0.6634689165618454,-0.3234861694615141,0.0,0.4084528651147106,1.086192436216423,1.485756079521073
15,50000,0.03529788877781322,0.0,0.0036001737012392176,0.6564029645878583,-0.31095105447276594,0.0,0.40121549887487534,1.0787661428529227,1.4695833839404424
16,50000,0.030497848435026204,0.0,-0.0019180877470605928,0.6583348385414121,-0.31715744130762435,0.0,0.3896568490983585,1.0810921976325008,1.4814048088905514
17,50000,0.03266282965209931,0.0,-0.006798174955935377,0.6511584612454655,-0.30523541450073516,0.0,0.38312762774696474,1.0696870819941053,1.4674247286031783
18,50000,0.02839989745486916,0.0,-0.011841042848997896,0.6490949316328618,-0.29956703040489124,0.0,0.3673044372598033,1.0677419182780015,1.4673800134506192
19,50000,0.02970648024026927,0.0,0.001913814596647967,0.6452325355221014,-0.2914383332179936,0.0,0.3725400347151143,1.0513891396359474,1.4671720895809786
