year,n,frac_zero,mean_prod,median_prod,mean_log_prod,var_log_prod,mean_log_prod_pos,var_log_prod_pos,q25_prod,q50_prod,q75_prod,q90_prod,q95_prod
0,2069,0.2097631706138231,4.3046789420568725,3.2254690051933212,1.0961637068079475,1.1692403159793476,1.4451032867927422,0.4776059688262897,1.4510313998257118,3.2254690051933212,6.0082704829463385,9.65355164637372,12.12624937746648
1,2149,0.20148906468124708,4.619203503531044,3.3456189356921056,1.1439482072556721,1.2064738015114524,1.4831951194044128,0.5281639981672568,1.4025962619724166,3.3456189356921056,6.223592296835065,10.22004238204524,13.946368196373463
2,2208,0.14628623188405798,5.890874640023586,4.667694222626299,1.4207334740028967,1.146156101948341,1.676982841486355,0.52854494775002,2.117645581083474,4.667694222626299,8.323570501236992,12.621855613858008,15.60822796542102
3,2252,0.11456483126110124,7.039266468767511,5.549047000824661,1.5979629665434971,1.1114208414007494,1.7973000970297826,0.574435275591298,2.625676271289992,5.549047000824661,9.758991774776097,14.922442699605432,18.757460978758235
4,2283,0.11519929916776171,7.484362476720373,5.968755577421544,1.6498323115307956,1.1520844564540584,1.862841896313841,0.5807334510575972,2.7745235004123305,5.968755577421544,10.41920181656517,15.558980742087662,19.636347667613833
5,2277,0.1137461572244181,7.7293193247281256,6.352936743250421,1.685265553414487,1.15707493250635,1.9021529422300534,0.5683767044785047,2.9020627996514237,6.352936743250421,10.891286519461364,16.263842506201264,20.764821173847128
6,2214,0.11924119241192412,7.404819046936149,5.706962338371138,1.6304275545781461,1.1739567632550307,1.8518358775076884,0.5907945162993117,2.7131713999282603,5.706962338371138,10.169643289973786,16.092192202696477,20.257392586210056
7,2156,0.11781076066790352,7.071913207324962,5.549047000824661,1.5874347793945172,1.1517036823424998,1.792052882556195,0.6183940753350197,2.4631029151383848,5.549047000824661,9.755142478388136,14.872980883594874,19.058810229751263
8,2074,0.1325940212150434,6.734257737938087,5.084821644986893,1.510005349153912,1.2085341474110953,1.742115858386044,0.6408927929358277,2.209297097449406,5.084821644986893,9.261512725835708,14.922442699605432,19.015513450086523
9,1992,0.13002008032128515,6.546520957970945,4.775004461937235,1.4940184281100386,1.177234958488187,1.713674512591608,0.635376465069646,2.209297097449406,4.775004461937235,9.189866949514972,14.314712422743336,19.060987041414034
10,1903,0.14608512874408827,6.428625690650365,4.6144047052993615,1.444706965183975,1.2592747596805858,1.7007847065542407,0.670000747021747,2.0317148221611325,4.6144047052993615,9.012405724419509,14.602367323412304,18.863408197734255
11,1823,0.14701042238069117,6.3646264988261745,4.6144047052993615,1.4288439871510181,1.2705993764291608,1.6814451882381445,0.700230133991087,1.8394423842317504,4.6144047052993615,9.084971073854494,14.814538752233512,18.743515358335387
12,1713,0.15236427320490367,6.141685701181885,4.361450671303054,1.398499787478335,1.2535339285114053,1.661457259020376,0.6619707793678046,1.8037250274318477,4.361450671303054,8.620860202984346,13.5658569996413,18.46388003813362
13,1609,0.15102548166563082,6.091512897369657,4.353094199477136,1.3785192215292934,1.2568476222058627,1.628876604593407,0.7031257609290507,1.6728094678460528,4.353094199477136,8.103823635106245,14.055713032126322,18.863630635900744
14,1497,0.17167668670674682,5.809829616526077,3.7503194820633063,1.302434555710834,1.3118670309120652,1.5951651042144022,0.7064951893780923,1.5020676207365846,3.7503194820633063,7.934427459986176,13.815903767917975,17.57452798878566
15,1373,0.16824471959213402,5.842097404055951,3.7503194820633063,1.3069731317655027,1.3177999853750348,1.5877200395301094,0.742649081190337,1.4025962619724166,3.7503194820633063,8.103823635106245,13.887348464702525,18.483781473387026
16,1275,0.17254901960784313,5.929018305152409,3.938514406934989,1.318075858876188,1.335482298537959,1.618656800669831,0.7143361191240983,1.5020676207365846,3.938514406934989,8.103823635106245,13.60237670549272,18.49213991038791
17,1178,0.17402376910016978,6.000177970227081,4.20778878591725,1.3331845951911678,1.351268304515993,1.6439439033360541,0.7071941034411902,1.5020676207365846,4.20778878591725,8.706188398954271,14.003082667878896,18.467429815768536
18,1096,0.20437956204379562,5.775772777813434,4.063429644322265,1.2560226527611111,1.4464127245228413,1.641323062844123,0.7052186306227778,1.2315514575691924,4.063429644322265,8.13951419978478,13.5658569996413,18.415082815029297
19,1028,0.188715953307393,5.90325623154641,3.6510522137856363,1.2748602175096762,1.40224858780621,1.6136318341401048,0.7347740249665028,1.35658569996413,3.6510522137856363,7.891378475399026,14.461947843943609,19.62652802086374
20,957,0.18181818181818182,5.797863158935677,3.694654372707577,1.264634901132746,1.3793715366964232,1.573650076552083,0.7788389226277884,1.312838135644996,3.694654372707577,7.779490371043831,14.512032608302249,19.732053717235722
