year,n,mean_log_delta,median_log_delta,mode_log_delta,var_log_delta,q25_log_delta,q50_log_delta,q75_log_delta,q90_log_delta,q95_log_delta
0,10000,0.09654818697064478,0.024524452526107562,-0.3300119592009656,1.3334145480643773,-0.7178214007712658,0.024524452526107562,0.8805018697015662,1.6216930243127952,2.0797921709296445
1,10000,0.31811874123284833,0.2211296144301932,0.010469738006587903,1.1784451706916599,-0.37777253304419317,0.2211296144301932,1.0369632163919353,1.7358646257057233,2.1871841531131135
2,10000,0.19496728830934557,0.06822628875758813,-0.039659435932019704,0.9540886811715292,-0.4041618497992733,0.06822628875758813,0.8135752626558765,1.477939066881723,1.8725525752070422
3,10000,0.0835919360556062,0.0,0.006657645409488211,0.8861301965948128,-0.4673524742824072,0.0,0.6485121484273515,1.3019090804343265,1.7012769796925864
4,10000,0.06438722836886458,0.0,-0.017464516605191216,0.8697983101995829,-0.5092299301040972,0.0,0.626367960821753,1.2986547506684478,1.6784355238701552
5,10000,0.016210768374805014,0.0,0.00048494579847258024,0.8624578423325209,-0.5273009376301002,0.0,0.5449257170001726,1.236039118495115,1.6308326491954308
6,10000,0.008823798993032947,0.0,0.027688120793079918,0.7880049131907565,-0.4959485432861477,0.0,0.515367950136793,1.1554288661359033,1.537473218614765
7,10000,0.008251713599927263,0.0,-0.02700530097511389,0.7935582657712367,-0.4742820973800107,0.0,0.49352558184270734,1.1537237143263035,1.556045196581679
8,10000,0.04769145739253324,0.0,-0.022850483195960836,0.765731474306627,-0.41511309281740394,0.0,0.515895786244763,1.184638321089412,1.5675988349033096
9,10000,0.0035877936926661576,0.0,-0.030410764386862965,0.7255963443292313,-0.44228929673667283,0.0,0.4480521717481427,1.0985473946260438,1.4770804281046186
10,10000,0.02381803346327821,0.0,-0.01891266693162219,0.7334856946396964,-0.4010420472568606,0.0,0.44024099106156755,1.1122747763991103,1.5445676230208738
11,10000,0.025381949971192756,0.0,0.01492876584374403,0.7045950373012156,-0.3779077059407746,0.0,0.434756164011472,1.113044444260126,1.4835915991060378
12,10000,0.018394773802633584,0.0,-0.023775882434015072,0.6610592123900179,-0.367361278608826,0.0,0.4164780911206265,1.0586820582007992,1.416749250274189
13,10000,-0.02855593053095388,0.0,-0.025662052853724138,0.6643488035386644,-0.4175459555024208,0.0,0.33193333567492034,1.0037208570093195,1.390519363563006
14,10000,0.05015092999522086,0.0,-0.013144168084690655,0.666470885903319,-0.30061868362085886,0.0,0.4449046375952182,1.1223401099574897,1.5029698300806418
15,10000,0.04843013952591733,0.0,0.011841721638937264,0.7050147277273009,-0.3246563514653729,0.0,0.4315247503430031,1.1363411961861052,1.540389138866446
16,10000,0.04417175167177863,0.0,-0.011031037714058112,0.6162678476872903,-0.2952320093652665,0.0,0.4029362231571425,1.0573752701059544,1.427428738042743
17,10000,-0.024317365772431817,0.0,0.01674038471450623,0.6575659976380398,-0.3824978481401995,0.0,0.31436710953211056,1.0157488746729981,1.3987378893810214
18,10000,0.04944668343328841,0.0,0.006819163710534593,0.6123438594053445,-0.2557453592660884,0.0,0.38760637247921476,1.047934822423944,1.4394084948050259
19,10000,0.03145901816937011,0.0,0.0037021369403531512,0.6211922390227335,-0.27655187051107655,0.0,0.3714528186452627,1.053353405463479,1.4509495739523588
