year,n,mean_log_delta,median_log_delta,mode_log_delta,var_log_delta,q25_log_delta,q50_log_delta,q75_log_delta,q90_log_delta,q95_log_delta
0,10000,0.10642387080759218,0.0435188562124319,-0.0730056987464327,1.369584995016202,-0.7065245972515491,0.0435188562124319,0.8808205569275258,1.6499814300314537,2.137405155750912
1,10000,0.3102828494064864,0.2016216847889032,0.011503305653262963,1.146176653559175,-0.3690743343697328,0.2016216847889032,0.9908808530723612,1.7314812889222504,2.160655695265247
2,10000,0.2150523796898853,0.082124895572802,-0.05614874646057122,0.956947102805091,-0.3819794199288963,0.082124895572802,0.8328189453196058,1.5054664218779357,1.918440093215176
3,10000,0.08933825917167038,0.0,-0.006334593022373047,0.896994046974582,-0.4795240165270753,0.0,0.6743037637634618,1.3245238315552177,1.7171496688509198
4,10000,0.08626456527646618,0.0,-0.0457348389025658,0.8564112121264712,-0.46176560399673866,0.0,0.6364755736091182,1.3061587993290256,1.69759973800777
5,10000,-0.0021044262538056115,0.0,0.006569087078746261,0.854940216835116,-0.5510623966607556,0.0,0.5382101772669206,1.1899377544788237,1.577024684874853
6,10000,0.008418182221258914,0.0,0.01705206080978061,0.7805363431989083,-0.4905698862388025,0.0,0.4893895077955709,1.1594160692950262,1.5435322930167075
7,10000,-0.02150153395214387,0.0,-0.02296926229725238,0.7878029844385879,-0.5158257943193358,0.0,0.4578056771519172,1.1115406671528878,1.4931902133464023
8,10000,0.023136946974968608,0.0,-0.03860348643063327,0.7672665601481776,-0.43611236988682733,0.0,0.4787619494555286,1.1460350000849397,1.558742265612785
9,10000,0.0017054514367308875,0.0,0.032256955445442825,0.7357109269750507,-0.4477735274745519,0.0,0.4391297161426511,1.1070804587493275,1.493859732639917
10,10000,0.043888911952550964,0.0,0.01629423999761448,0.7294270997554592,-0.36090578521268046,0.0,0.47747300292508305,1.156870772398789,1.5588900242464827
11,10000,0.022636624261753866,0.0,0.026223363496106433,0.7084283193814191,-0.39488071851955053,0.0,0.45006667815406476,1.0998539100184797,1.4994687666326167
12,10000,0.017063633667632343,0.0,-0.0009962741097886418,0.6431398660757587,-0.3651074369689002,0.0,0.4012547089577263,1.0500841618233974,1.4302896718217677
13,10000,-0.02033878906021147,0.0,0.006294405848467299,0.6657283812664458,-0.4122151965657965,0.0,0.36184746710989746,1.016113697193475,1.3721793096435453
14,10000,0.040175279348572325,0.0,0.030767311812128995,0.679234120633588,-0.3155796170123664,0.0,0.4189014625699786,1.0971849982604587,1.5065221209697464
15,10000,0.043998051011605685,0.0,0.03006633410918047,0.7141275220450906,-0.3234679720965622,0.0,0.427005061951686,1.1586226986323789,1.534015712487832
16,10000,0.03507139463390556,0.0,0.0024265132435203896,0.6359105110400456,-0.3078729051746101,0.0,0.4051585609670475,1.0636534720514204,1.4640196913475962
17,10000,-0.018279098243620912,0.0,0.006176471740987122,0.6345792744230677,-0.38484350464631933,0.0,0.30433216777422384,0.9974134256839873,1.3881576202350503
18,10000,0.055370322731122704,0.0,-0.02339221143641712,0.6100613757798314,-0.2513344015618637,0.0,0.39393589288381614,1.0692286423695394,1.4283404291774469
19,10000,0.013271969774278372,0.0,0.00920025594293028,0.6146057331019507,-0.3048667543170982,0.0,0.3250294310435933,1.0082370132480516,1.3780188775129778
