year,n,frac_zero,mean_prod,median_prod,mean_log_prod,var_log_prod,q25_prod,q50_prod,q75_prod,q90_prod,q95_prod
0,10000,0.0,4.338453649120417,3.0240214021769387,1.204720493964904,0.7911395176861793,1.2482816937819445,3.0240214021769387,5.990548304135409,10.06975616875649,12.999063485469742
1,10000,0.1043,10.382791964537441,2.9785015248349582,1.3111443647724963,1.9758764608088044,0.721985595951999,2.9785015248349582,9.348387187060563,24.298047031578815,41.70201939104495
2,10000,0.126,27.400251025910222,4.102165875627816,1.6214272141789825,2.986451146012363,0.735670122576076,4.102165875627816,15.8215447026764,55.37724458856375,107.33567331577034
3,10000,0.1398,62.428442521148256,5.003774588826898,1.836479593868868,3.8352664885266616,0.6945029924932424,5.003774588826898,24.053687020628587,92.2238316952552,196.21076431167404
4,10000,0.1573,129.13558182472954,4.976997910910436,1.9258178530405385,4.521098890183805,0.5767287337461788,4.976997910910436,29.300505674083723,123.35765819400862,314.83369797338105
5,10000,0.1701,206.53042977872835,5.448965343989366,2.0120824183170045,5.057426063377882,0.4829455962433688,5.448965343989366,33.522548264865506,164.5573954310206,439.9247136115201
6,10000,0.1958,331.2630539647746,4.852125422413771,2.009977992063199,5.588547537727055,0.3199299689391956,4.852125422413771,36.89265494142658,212.9344319732081,568.4276308804283
7,10000,0.2166,524.171354951105,4.720973817232438,2.0183961742844576,6.099166419010869,0.17956040449763525,4.720973817232438,37.9442400553779,250.47633613979872,757.5035465892269
8,10000,0.2377,606.0369588370611,4.242624122675933,1.9968946403323142,6.502715025312672,0.0640764316267049,4.242624122675933,39.733599227019376,270.272360626536,897.3341181509007
9,10000,0.2532,1062.3832928395018,4.050951109916243,2.0200315873072823,7.011633270269347,0.0,4.050951109916243,43.47809397030975,341.2015113949231,1091.8671678618673
10,10000,0.273,1358.891200686852,3.7482568460867127,2.0217370387440132,7.386380272854306,0.0,3.7482568460867127,47.71521250060104,367.29823405579054,1316.316257187407
11,10000,0.2745,2001.481598024909,3.6615166555620395,2.0656259506965644,7.888247747822743,0.0,3.6615166555620395,51.28070179575428,440.0743763699907,1695.6523143655227
12,10000,0.2862,2988.3458073681704,3.5796758999390614,2.088262574958318,8.249893412764553,0.0,3.5796758999390614,52.97713376424666,492.65519154994746,2002.6215266670968
13,10000,0.2965,4788.26934499667,3.5485166001115167,2.1053262086259505,8.630060560852991,0.0,3.5485166001115167,55.223824520995755,570.0270425702124,2388.728969712284
14,10000,0.3085,5348.337827571737,3.0344862108711976,2.0849874195657394,8.920165737314404,0.0,3.0344862108711976,54.63277408414711,601.7854745016865,2575.1169692697877
15,10000,0.3173,10922.490099159964,3.1766288037017385,2.1251626989143113,9.333211381708784,0.0,3.1766288037017385,58.03116297033848,689.9529114482652,3281.1686073168785
16,10000,0.3214,10538.896974860423,3.120365837814553,2.169160749925917,9.832894488986144,0.0,3.120365837814553,67.05167222863008,800.8156525981937,3906.0392296114046
17,10000,0.3249,24835.25655798776,3.066425134054311,2.204232144559823,10.230064380972564,0.0,3.066425134054311,67.6719439202254,987.4333405855697,4749.805761617811
18,10000,0.3388,40278.61722589531,2.8617633093497505,2.185953046316202,10.515451550584281,0.0,2.8617633093497505,68.07423397287988,1034.267472933912,5162.354686646713
19,10000,0.3394,57237.14765567017,2.9527860137033035,2.241323369047324,10.996998559276053,0.0,2.9527860137033035,70.23258033043871,1260.429193423783,6559.396912900715
20,10000,0.3454,30865.99384101284,2.7606921952507144,2.254595338821603,11.39314508279312,0.0,2.7606921952507144,72.5929127416598,1380.008671515384,8210.350378494288
