year,n,mean_log_delta,median_log_delta,mode_log_delta,var_log_delta,q25_log_delta,q50_log_delta,q75_log_delta,q90_log_delta,q95_log_delta
0,10000,-0.030442306473770317,-0.049759798005215905,-0.10750784674906466,1.3537880034869199,-0.8517256371422914,-0.049759798005215905,0.7615937849955078,1.5019707798158897,1.895986421021719
1,10000,0.2525618488176937,0.24929489131992982,0.023638982396527286,1.3336334274009818,-0.5193902304749444,0.24929489131992982,1.042258072272089,1.747433760437223,2.1421119350785283
2,10000,0.15973729585219293,0.16053661120651375,0.18296337775550398,1.1359422978679523,-0.56296037026827,0.16053661120651375,0.8805304283085924,1.5415999068158057,1.9132763151021623
3,10000,0.04777600502193356,0.04922626307764144,-0.38438433089637125,1.0783585394111215,-0.639392676435447,0.04922626307764144,0.7289304394388257,1.3705341275212017,1.7338978805189387
4,10000,0.034395776825050295,0.0350822716134106,0.22485126017769153,1.0870480146731483,-0.675395133011996,0.0350822716134106,0.7430956816057371,1.3744716058131397,1.7451012817082556
5,10000,-0.03286752235310305,-0.029494067303311555,0.03535424585911118,1.0902837541809525,-0.751787873149936,-0.029494067303311555,0.6830174448040998,1.3105731252023876,1.6863445436351303
6,10000,-0.05113141106077403,-0.0419077451534039,0.14146966302528363,1.0247358688155586,-0.7555946366423141,-0.0419077451534039,0.6296412949715684,1.2536073747220131,1.6178498215473507
7,10000,-0.05253369001167845,-0.057088396822484455,-0.0353893055337533,1.0394005732987748,-0.7266406056237145,-0.057088396822484455,0.6241129348954698,1.2618300399684927,1.657052292555025
8,10000,-0.015996579356117518,-0.01097687446014095,-0.013197222575267897,1.0286889780811814,-0.6895657061684821,-0.01097687446014095,0.6672993539126542,1.2782098367741488,1.6538385749598674
9,10000,-0.06223925687198793,-0.05504536774221869,0.028507749568520202,0.9978074071660834,-0.7323328626979084,-0.05504536774221869,0.6083365279058333,1.2102166996742203,1.57165632442844
10,10000,-0.023922939050131306,-0.004327763046965718,0.018955786607665726,1.0012762007533584,-0.6981672763914659,-0.004327763046965718,0.6442481145477355,1.2583804844213342,1.608954741538784
11,10000,-0.026517778038329026,-0.01891019842778896,-0.03475362047499542,0.9791185809802547,-0.6810842029247594,-0.01891019842778896,0.6515668569626595,1.2584163830970518,1.583706891122342
12,10000,-0.0243098687265026,-0.00789808039170703,0.03950406774108761,0.9294335909022226,-0.6748275736663919,-0.00789808039170703,0.6263395428051293,1.1997863929667696,1.5559611716743957
13,10000,-0.08051480569556714,-0.06897443014604832,0.05610350067138925,0.9274657812440676,-0.7282481578147585,-0.06897443014604832,0.5694783985430301,1.153266957780664,1.5051678507629553
14,10000,0.018995433570077706,0.01192048774143839,-0.04146744355193421,0.9178570648937937,-0.620442955853461,0.01192048774143839,0.6706663091561363,1.2488888600759072,1.5751673065941874
15,10000,0.015336449557594122,0.0,0.02768215038456301,1.0217027503128349,-0.6626132899953546,0.0,0.6915074507037868,1.3124262440763002,1.7067248303277909
16,10000,0.011664510482723487,0.0017651182709519375,-0.02935764411977626,0.8806694433314999,-0.6232589552104552,0.0017651182709519375,0.6524880550488096,1.2022845635846156,1.5389024643773346
17,10000,-0.09152235118295575,-0.06892046957687104,0.04783881814657032,0.9581211365896126,-0.7419503952481818,-0.06892046957687104,0.5695063456800366,1.1552384656769066,1.5266861556119151
18,10000,0.029077139182515543,0.0,0.04062347654028087,0.8745470503311416,-0.5959313561011335,0.0,0.6540412470517774,1.227725255841796,1.5824836107776694
19,10000,-0.012149637870348978,0.0,0.05354512255381749,0.8845938554388777,-0.6320003501647484,0.0,0.6108003227668771,1.1948122273351869,1.5199458596068396
