year,n,mean_log_productivity,var_log_productivity,sd_log_productivity
0,2069,1.0961637068079475,1.1692403159793476,1.0813141615549793
1,2149,1.1439482072556721,1.2064738015114524,1.0983960130624348
2,2208,1.4207334740028967,1.146156101948341,1.0705868026219738
3,2252,1.5979629665434971,1.1114208414007494,1.0542394611286134
4,2283,1.6498323115307956,1.1520844564540584,1.073351972306409
5,2277,1.685265553414487,1.15707493250635,1.0756741758108495
6,2214,1.6304275545781461,1.1739567632550307,1.0834928533474648
7,2156,1.5874347793945172,1.1517036823424998,1.0731745814835998
8,2074,1.510005349153912,1.2085341474110953,1.099333501450354
9,1992,1.4940184281100386,1.177234958488187,1.085004589155358
10,1903,1.444706965183975,1.2592747596805858,1.1221741218191523
11,1823,1.4288439871510181,1.2705993764291608,1.1272086658774234
12,1713,1.398499787478335,1.2535339285114053,1.119613294183043
13,1609,1.3785192215292934,1.2568476222058627,1.121092155982666
14,1497,1.302434555710834,1.3118670309120652,1.1453676400667452
15,1373,1.3069731317655027,1.3177999853750348,1.1479546965690914
16,1275,1.318075858876188,1.335482298537959,1.1556306929715734
17,1178,1.3331845951911678,1.351268304515993,1.1624406670948815
18,1096,1.2560226527611111,1.4464127245228413,1.202669000399878
19,1028,1.2748602175096762,1.40224858780621,1.1841657771639114
20,957,1.264634901132746,1.3793715366964232,1.1744664902398976
