year,n,mean_log_delta,median_log_delta,mode_log_delta,var_log_delta,q25_log_delta,q50_log_delta,q75_log_delta,q90_log_delta,q95_log_delta
0,50000,-0.009346912172277146,-0.03429417263654111,-0.1684874777901646,1.3780997702596607,-0.8192061849446332,-0.03429417263654111,0.7825363817403608,1.5293300859716434,1.9650539596205019
1,50000,0.2409715698317573,0.23846757960553958,-0.02717025496157266,1.337170393005856,-0.5428549456172078,0.23846757960553958,1.0302461808242576,1.7277199476341218,2.136090482515709
2,50000,0.1711948301107034,0.16758417888907207,-0.03732214277019308,1.1287112588763035,-0.5433157954494906,0.16758417888907207,0.8918834643888984,1.5350832966534311,1.9143127126355362
3,50000,0.054554922448157565,0.05167382641618523,-0.03312286983643142,1.0746034873066475,-0.645581555913393,0.05167382641618523,0.7567017949051679,1.388859857477085,1.7686525755810014
4,50000,0.032768578945251065,0.03674488032289602,-0.03638333885789491,1.084163260931548,-0.670021154365833,0.03674488032289602,0.7342895478504659,1.3651086700712676,1.7412696240463075
5,50000,-0.060012690615845334,-0.05724883199474384,-0.026452098886216024,1.072674246615597,-0.7591396426582896,-0.05724883199474384,0.6394045856681195,1.265708389141574,1.6463154462306209
6,50000,-0.04630450163555074,-0.04510935753966949,0.0024284170762021162,0.9955472516832783,-0.7190263121689251,-0.04510935753966949,0.6263705759704721,1.237355057257916,1.6006717222864526
7,50000,-0.06873813830325519,-0.06812406419101771,-0.014681312160399251,1.0519497717927522,-0.7624132784962214,-0.06812406419101771,0.6233660992419396,1.242495589294045,1.621194067114754
8,50000,-0.017687332173250733,-0.013460820755934244,0.028228270857088678,1.0240228258462278,-0.7053204591527766,-0.013460820755934244,0.6663947424664907,1.2906743729220855,1.6452900560105197
9,50000,-0.05532733197145155,-0.05355848929050322,-0.0179265318874009,0.9743386219007005,-0.7103776711434863,-0.05355848929050322,0.6118008513715116,1.2123757178656114,1.5718242789594283
10,50000,-0.01065806577348719,-0.004078264725344172,-0.02513440272694556,0.9959112841701742,-0.687675023650138,-0.004078264725344172,0.6592818123445977,1.265646816420282,1.639976406507004
11,50000,-0.028838645847140684,-0.013838745404470165,-0.003913453641583242,0.9978801503974692,-0.6965294994635324,-0.013838745404470165,0.6421545991626724,1.2564671463292612,1.6130349254412013
12,50000,-0.025544230718041877,-0.014091899096568411,0.023652363137378174,0.919724840380252,-0.6677734354814227,-0.014091899096568411,0.6269081471629309,1.207648072731763,1.5472881116488388
13,50000,-0.07160692180551555,-0.06443766573557491,-0.01059903988941091,0.9298941490044008,-0.7141999257849373,-0.06443766573557491,0.5784150097983987,1.165478958145416,1.5270606495228072
14,50000,0.011007855695410742,0.0,-0.02958555142759467,0.9354636352511486,-0.6412980657498589,0.0,0.6549222768930734,1.2638120020468975,1.6089551993845757
15,50000,0.009002217352088364,0.0,0.006340828665750919,1.024920892062497,-0.6772612358739194,0.0,0.689308415927775,1.3156260682860077,1.6855713440043776
16,50000,0.01695472340477664,0.0005575347452104751,-0.019870335505586256,0.9076228444440817,-0.6238758668304297,0.0005575347452104751,0.6574760187953521,1.2510412144098477,1.5976378454977251
17,50000,-0.07322226872254914,-0.06516968982751603,0.029710228631139923,0.9331109480703302,-0.7228174993869958,-0.06516968982751603,0.5757185742527559,1.1679441663780672,1.5248587618918823
18,50000,0.014937875318980777,0.0,0.02432379963547393,0.8990443072108073,-0.6132285683465003,0.0,0.6443232837979329,1.2338296447836106,1.5878949228210688
19,50000,-0.01339335065324669,0.0,-0.014720346438158671,0.8809332006020555,-0.6420905564224249,0.0,0.605838980267358,1.1952896973137839,1.5456116578306967
