year,n,frac_zero,mean_prod,median_prod,mean_log_prod,var_log_prod,q25_prod,q50_prod,q75_prod,q90_prod,q95_prod
0,50000,0.0,4.312892346378452,2.98269945533404,1.1982171280842533,0.7936531212787536,1.2336338674632414,2.98269945533404,5.980609573430572,9.970281725934184,12.873631502300546
1,50000,0.04228,5.394792646359092,2.730751850543335,1.1888702159119762,1.1131090212037487,1.045372588988239,2.730751850543335,6.248293221435874,12.72541856417928,19.051826120780913
2,50000,0.02438,6.913730786615557,3.6628827954289918,1.4298417857437333,1.1166090078418662,1.5185856429469715,3.6628827954289918,8.035902715200503,15.968749850710557,24.090846642563157
3,50000,0.0145,8.140760814926566,4.436356047453263,1.6010366158544371,1.0919735230692829,1.9390853184967147,4.436356047453263,9.613320916116717,18.647455152230833,27.3576935111954
4,50000,0.01396,8.869736430685954,4.705280504199653,1.6555915383025943,1.1353471019100358,2.012087074075267,4.705280504199653,10.243939296640225,20.215492930434007,30.111964769876696
5,50000,0.01352,9.102220404229918,4.898319960302852,1.6883601172478457,1.1349942885709883,2.1114011201097096,4.898319960302852,10.68478684949546,21.059356592178265,30.966759367878048
6,50000,0.01642,8.61024632105561,4.571023808639064,1.6283474266320002,1.1378272124606688,1.9627119438000427,4.571023808639064,9.989033963043052,19.60403564893089,29.549444670594337
7,50000,0.01646,8.11992783326455,4.349422371898283,1.5820429249964492,1.112548300921182,1.8673835859774541,4.349422371898283,9.358507313554357,18.511871414130756,27.64876836490748
8,50000,0.02118,7.724424912744098,3.97929380938368,1.5133047866931941,1.1529558091343786,1.654227298006619,3.97929380938368,8.949102077976622,17.868269541342315,27.049196762538777
9,50000,0.02016,7.416902513437348,3.9255267623538437,1.4956174545199437,1.1260430914729918,1.6277871670509887,3.9255267623538437,8.773555729118872,17.30128130311571,25.6803377433382
10,50000,0.02658,7.3086565466890585,3.6941783040428398,1.4402901225484919,1.1860961715182337,1.4697477986450882,3.6941783040428398,8.333192197385243,16.84902343142963,25.591897114728294
11,50000,0.02876,7.252745490054061,3.6442041841962176,1.4296320567750047,1.2000358392933779,1.4508799000605792,3.6442041841962176,8.298893183760711,17.062000537364252,25.80068410868864
12,50000,0.02918,6.9581802969988304,3.516645209067166,1.400793410927864,1.1755516768917966,1.3952274984450568,3.516645209067166,8.02068469206592,16.27073867088,24.772870568942782
13,50000,0.03254,6.796808722103702,3.4024441323855865,1.3752491802098221,1.1769565469734793,1.3577883663389927,3.4024441323855865,7.776716808676708,15.842505267634504,24.089464514591363
14,50000,0.03964,6.442885477708982,3.1310816924941665,1.3036422584043066,1.2138496133622423,1.1731205657807877,3.1310816924941665,7.35720312650412,15.24603601706909,22.895522673791696
15,50000,0.03824,6.532816109550246,3.1600468907020036,1.3146501140997175,1.210603335944136,1.2050293596594814,3.1600468907020036,7.379262159924704,15.223731619953337,23.38100252708575
16,50000,0.03814,6.605761918411364,3.1898069586271363,1.3236523314518056,1.216941053864491,1.2200122948929646,3.1898069586271363,7.471928718461285,15.427925964988042,23.57688436463185
17,50000,0.03694,6.732561681911155,3.264680901914446,1.3406070548565823,1.225514643972982,1.2546204799179992,3.264680901914446,7.620775333055443,15.902149710863519,24.35665096437241
18,50000,0.04926,6.619832503303402,2.970808336301536,1.2673847861340333,1.2956156633938378,1.0684731831432779,2.970808336301536,7.160151035806701,15.41542072795793,24.098408325193116
19,50000,0.04468,6.606910627241177,3.0072895284775005,1.282322661453014,1.2741705982408789,1.1094240944042466,3.0072895284775005,7.2804049648882,15.40323784699289,24.106734551042095
20,50000,0.04426,6.365236401148774,2.9852738532943297,1.2689293107997672,1.2426827291593623,1.096262627968093,2.9852738532943297,7.0821690838275595,15.006969903993323,23.41436050727731
