year,n,intercept_log_delta,beta_log_prod,sigma_log_delta,mean_log_delta,sample_sd_log_delta
0,2067,0.7426228275623472,-0.6507810193098638,1.0446115309960378,0.02898014056286163,1.2596834978636315
1,2143,0.9662991695555447,-0.6092698253375547,0.9910721635649348,0.2687576349551875,1.1962934252535766
2,2202,0.9124630446462718,-0.519397660563823,0.9275704773398585,0.1733354950732509,1.0816185868256065
3,2247,0.8089678502784532,-0.47341663453748534,0.9237659469655238,0.05154896690231855,1.0500413930686008
4,2259,0.8084499263439991,-0.4710099600953298,0.9140647961012126,0.027380029331591848,1.0448175733226468
5,2200,0.7395519884410893,-0.47405530936893886,0.9240405377851961,-0.06383115714581852,1.0576976160340896
6,2142,0.6798390376650211,-0.44669879077858776,0.890069569917874,-0.05334961108795788,1.0149041516136628
7,2059,0.626020465339836,-0.4470216448870896,0.9239908785180667,-0.08949455421939845,1.0436481534004074
8,1985,0.6626846288073688,-0.4528714297868147,0.9006147489164416,-0.02528094315856204,1.0317496808440558
9,1895,0.5537149432750846,-0.4078883312741777,0.9151375186508092,-0.06049659590171866,1.0196923830508957
10,1814,0.5797832388003595,-0.41209227855150665,0.91031395921491,-0.016302353414628133,1.0237564117498863
11,1710,0.5622173669556548,-0.41940573555204014,0.9017467068126717,-0.04240891008035527,1.0216642258575757
12,1599,0.5140255947728377,-0.3857659677232627,0.8789174337109131,-0.02966735584570475,0.9828456623109969
13,1493,0.4343806777380182,-0.37843912750753234,0.8986824964099337,-0.0943652503331065,0.9978708999788309
14,1367,0.5113070877488949,-0.38808230607960065,0.8963445543211092,0.006188366541041566,1.006153810051616
15,1271,0.5400329773166305,-0.41301941682131477,0.9299628239358856,-0.008169713824645429,1.0486684459332043
16,1174,0.4893925641502744,-0.36144582555756016,0.883605244367354,0.010939517397835356,0.982231184867214
17,1094,0.3761750228446437,-0.34507871900664755,0.9194570803174478,-0.08800082040433463,1.0063819360027983
18,1023,0.4662925615246455,-0.35690234030822443,0.8872852310518397,0.01651525467464193,0.9891723746984981
19,957,0.44011369678201095,-0.3576593564739587,0.8780961793501197,-0.018984954874867267,0.9796182670541842
