prod_bin,n,dropout_rate,mean_q_t,median_q_t,source,bin_mid,se,lower,upper
"(1.0890000000000002, 2.181]",3760,0.20079787234042554,1.5584083617975284,1.5020676207365846,Empirical,1.5584083617975284,0.006533019381197491,0.18799315435327846,0.21360259032757262
"(2.181, 3.229]",3687,0.17493897477624085,2.6872657080242495,2.6448091533287252,Empirical,2.6872657080242495,0.006256763736525451,0.16267571785265098,0.18720223169983072
"(3.229, 4.419]",3575,0.13454545454545455,3.8156066603447307,3.811036551090419,Empirical,3.8156066603447307,0.005707141280558506,0.12335945763555987,0.14573145145534921
"(4.419, 5.829]",3700,0.0872972972972973,5.131218223869673,5.084821644986893,Empirical,5.131218223869673,0.004640493892105829,0.07820192926876987,0.09639266532582472
"(5.829, 7.622]",3631,0.07353346185623795,6.704440421058591,6.691237871384211,Empirical,6.704440421058591,0.0043315591654849534,0.06504360589188744,0.08202331782058846
"(7.622, 10.037]",3711,0.0479655079493398,8.73254340585258,8.706188398954271,Empirical,8.73254340585258,0.003507885331342044,0.04109005269990939,0.05484096319877021
"(10.037, 14.001]",3592,0.028953229398663696,11.763405479854308,11.65745760505647,Empirical,11.763405479854308,0.002797695316323175,0.023469746578670275,0.03443671221865712
"(14.001, 80.687]",3666,0.019094380796508457,20.622868613375385,18.3927022890417,Empirical,20.622868613375385,0.0022603212635686877,0.01466415111991383,0.023524610473103086
"(1.0890000000000002, 2.181]",108559,0.10306837756427381,1.6598645746435832,1.671055133326764,Simulated,1.6598645746435832,0.0009228040050523903,0.10125968171437112,0.1048770734141765
"(2.181, 3.229]",111714,0.0975705820219489,2.7009541873702836,2.6985210623634823,Simulated,2.7009541873702836,0.0008877941291923138,0.09583050552873197,0.09931065851516584
"(3.229, 4.419]",112510,0.0985690160874589,3.8062531278737475,3.7969047293011258,Simulated,3.8062531278737475,0.0008886707566691155,0.09682722140438743,0.10031081077053036
"(4.419, 5.829]",106829,0.09803517771391664,5.091690425311091,5.076122866676382,Simulated,5.091690425311091,0.0009097900621304407,0.09625198919214097,0.0998183662356923
"(5.829, 7.622]",98457,0.09801233025584773,6.671297170473026,6.644374539529237,Simulated,6.671297170473026,0.0009475832131914557,0.09615506715799248,0.09986959335370298
"(7.622, 10.037]",87571,0.09656164712062212,8.73132675315738,8.682085736104751,Simulated,8.73132675315738,0.0009980939882550874,0.09460538290364215,0.0985179113376021
"(10.037, 14.001]",78350,0.09596681557115508,11.77732557573476,11.657711068207345,Simulated,11.77732557573476,0.0010522846320178512,0.09390433769240009,0.09802929344991007
"(14.001, 80.687]",86100,0.09530778164924507,21.723629926447764,18.842875842192072,Simulated,21.723629926447764,0.0010007210432210712,0.09334636840453177,0.09726919489395837
