year,n,mean_log_delta,median_log_delta,mode_log_delta,var_log_delta,q25_log_delta,q50_log_delta,q75_log_delta,q90_log_delta,q95_log_delta
0,50000,0.04601541182991066,0.0,-0.023134848245744077,1.3694732737297064,-0.5747248648404761,0.0,0.6373937061382289,1.4858650670702866,2.2377700817729043
1,50000,0.2991430088618817,0.2007858377002601,-0.0034966663615989546,1.3129897981918985,-0.266690220572812,0.2007858377002601,0.8806874445484452,1.798383813934225,2.439390161145855
2,50000,0.1863135088966074,0.12195401750371149,0.009688684380909862,1.0765595418952665,-0.31427855301618196,0.12195401750371149,0.6935942152050363,1.3784562108428615,2.0569927121447775
3,50000,0.06226190754216729,0.03343973934125255,0.017963017354927224,1.06126483035996,-0.4229262090508305,0.03343973934125255,0.5828935587034773,1.1746778746867526,1.768331712565645
4,50000,0.03733725685323889,0.0023673412374147773,-0.0014159355211726954,1.031874425388951,-0.43594273321716537,0.0023673412374147773,0.5407148375076746,1.1109978002193648,1.7049491220006985
5,50000,-0.04895084168825488,0.0,0.015027143048186531,1.050649247198734,-0.5455966323116699,0.0,0.45934898624902376,1.036328522581449,1.6440839977106758
6,50000,-0.04349772209092166,0.0,-0.0010806981394124726,1.0527747987460172,-0.5345308805526651,0.0,0.4561417499796411,1.0358542220058884,1.6853717232975411
7,50000,-0.07309779769666996,0.0,-0.009334085182102658,1.1097856330438884,-0.5750518053293913,0.0,0.4497410160323584,1.0555035556726602,1.6965950525610862
8,50000,-0.001478986948122965,0.0,0.006938719112166147,1.0857147195052417,-0.5163891058543579,0.0,0.4994677258890109,1.1346379405975064,1.8724301750121675
9,50000,-0.04835306816502178,0.0,0.023171368347342458,1.0322039089526993,-0.5322399057916939,0.0,0.44574493274236227,1.0424049591231164,1.6290730252521963
10,50000,-0.00813348599844689,0.0,-0.009015408961326798,1.082374014943633,-0.510676940579561,0.0,0.48086468202817,1.1321992012562454,1.8213900176318367
11,50000,-0.037941900966008225,0.0,0.023596794588487402,1.0674910881512987,-0.537836770256888,0.0,0.4450938188014315,1.058017759546227,1.771399499796848
12,50000,-0.013886512550963875,0.0,-0.008549745609343962,1.0364654061493996,-0.5161848147971325,0.0,0.4590310163948688,1.101340275886177,1.7678138385726763
13,50000,-0.08334504874589936,0.0,-0.014992644829485702,1.0640455318139286,-0.578309032842949,0.0,0.3906659298725323,1.0108105864354269,1.714038156774164
14,50000,0.005874701213594408,0.0,-0.010002108509683083,1.0743742759378319,-0.49382065959287913,0.0,0.47266868763535635,1.1412767216309205,1.9169589824218034
15,50000,0.0008580876694156387,0.0,-0.005239529055231618,1.1375896937266032,-0.5226791912279776,0.0,0.5034639133411892,1.1903418558003755,1.9476785438260444
16,50000,0.025793040966806312,0.0,-0.004376212081560915,1.0733393102790414,-0.4493192131796165,0.0,0.4886711553780618,1.1439384890480453,1.9183920472712492
17,50000,-0.08897232406504565,0.0,-0.015566950292456916,1.148202011792145,-0.5705318916578874,0.0,0.38768066593672723,1.0217228083211571,1.8153604365652272
18,50000,0.035907790868633,0.0,-0.0038025228588325355,1.1225119702808102,-0.4621464548102188,0.0,0.49604819130498773,1.2460543305623542,2.039534971717869
19,50000,0.00834458521383587,0.0,0.024298612429237476,1.1336137224797933,-0.49956586942664566,0.0,0.4681929568821421,1.2089685915374646,2.0399814919497405
