source,stage,n,mu_hat,alpha_hat,ks_stat,mean,sd,q01,q50,q99,transition,transition_label,emp_q01,emp_q99,frac_outside_emp_1_99
empirical,B. years 1-4,6933,-0.04163272439827281,3.880758187235835,0.10286276424490459,0.8016822878054539,5.383435606224139,-12.94483378412551,-0.04163272439827281,14.96374744468787,active_to_active,active → active,-12.94483378412551,14.96374744468787,
Hurdle-AR(1)-GRW-P,B. years 1-4,150400,0.5921910976886307,4.478546483017988,0.029264036556980566,0.7898555200427905,7.2080486067673775,-19.568239934486694,0.5921910976886307,22.87589071598557,active_to_active,active → active,-12.94483378412551,14.96374744468787,0.05516622340425532
empirical,C. years 5-7,5159,-0.2749545490977976,3.977837899666588,0.07914968960797275,-0.483646063541846,5.607226416468631,-15.039792435935285,-0.2749545490977976,15.3427190681255,active_to_active,active → active,-15.039792435935285,15.3427190681255,
Hurdle-AR(1)-GRW-P,C. years 5-7,118071,-0.19462957130388947,4.67285572287352,0.03343528458162681,-0.33092986275077557,7.553821785815433,-22.69438408045547,-0.19462957130388947,21.558978783593712,active_to_active,active → active,-15.039792435935285,15.3427190681255,0.0510455573341464
empirical,D. years 8-20,13042,-0.16149136041654444,3.6263475868231603,0.08720328677408007,-0.3046828128188147,5.165246032431425,-14.437688667385412,-0.16149136041654444,14.204637648150985,active_to_active,active → active,-14.437688667385412,14.204637648150985,
Hurdle-AR(1)-GRW-P,D. years 8-20,439698,-0.07733340074592143,4.1732869275957025,0.03976616812407707,-0.14503158529625848,7.11040591142581,-20.994330226840916,-0.07733340074592143,20.864174162606343,active_to_active,active → active,-14.437688667385412,14.204637648150985,0.04846280856405988
empirical,B. years 1-4,817,4.063429644322265,2.700016588526714,0.16461365823303062,5.24374331161144,3.7934397152309227,1.1576890907294637,4.063429644322265,18.254220362188523,inactive_to_active,inactive → active,1.1576890907294637,18.254220362188523,
Hurdle-AR(1)-GRW-P,B. years 1-4,21666,2.9541278107272677,2.983938998579146,0.18582389766393956,4.295878392762202,4.305783586278589,0.04507596888951266,2.9541278107272677,19.851264163502655,inactive_to_active,inactive → active,1.1576890907294637,18.254220362188523,0.24969999076894675
empirical,C. years 5-7,449,3.600009730581166,2.705613643253057,0.19547107967321187,4.852957419254771,4.123068973829454,1.0903626678257634,3.600009730581166,19.56781395204399,inactive_to_active,inactive → active,1.0903626678257634,19.56781395204399,
Hurdle-AR(1)-GRW-P,C. years 5-7,11414,2.9780384638675637,2.9778036807227024,0.18392751471009303,4.302763126358754,4.300233374856797,0.043698777328549945,2.9780384638675637,19.7483267633614,inactive_to_active,inactive → active,1.0903626678257634,19.56781395204399,0.23243385316278256
empirical,D. years 8-20,1526,2.7131713999282603,1.8991320159277125,0.20925337118669748,3.6447450343216627,3.042125543308222,1.0589091392016494,2.7131713999282603,17.778756193753477,inactive_to_active,inactive → active,1.0589091392016494,17.778756193753477,
Hurdle-AR(1)-GRW-P,D. years 8-20,54228,2.9763029849642364,2.988766858254654,0.18470993688198728,4.308695336251537,4.313014957979958,0.04092013254774314,2.9763029849642364,19.870292347702772,inactive_to_active,inactive → active,1.0589091392016494,17.778756193753477,0.23334808585970349
empirical,B. years 1-4,642,-3.6510522137856363,2.4839941465824222,0.18013198997463364,-4.898404476087769,3.845451849434643,-18.39468275734683,-3.6510522137856363,-1.2315514575691924,active_to_inactive,active → inactive,-18.39468275734683,-1.2315514575691924,
Hurdle-AR(1)-GRW-P,B. years 1-4,15887,-2.874113592851053,2.4691536068015933,0.1561493734634889,-3.9247974621439834,3.907154128006724,-18.944305596343554,-2.874113592851053,-0.0669726018334511,active_to_inactive,active → inactive,-18.39468275734683,-1.2315514575691924,0.216088625920564
empirical,C. years 5-7,469,-3.902056991355255,2.836702639140921,0.18560080891455433,-5.185206539731839,4.451195285059027,-21.92704540462478,-3.902056991355255,-1.1466714696569538,active_to_inactive,active → inactive,-21.92704540462478,-1.1466714696569538,
Hurdle-AR(1)-GRW-P,C. years 5-7,12422,-3.4510346729794685,2.71910232883082,0.14063399616797823,-4.582000085271019,4.301650425604058,-20.876296781776265,-3.4510346729794685,-0.11105218372020954,active_to_inactive,active → inactive,-21.92704540462478,-1.1466714696569538,0.13790049911447433
empirical,D. years 8-20,1444,-2.9143644012641174,1.8543443374484385,0.18697428255601967,-3.7597346801358373,2.881083824024215,-14.619694875386537,-2.9143644012641174,-1.1232590248778695,active_to_inactive,active → inactive,-14.619694875386537,-1.1232590248778695,
Hurdle-AR(1)-GRW-P,D. years 8-20,56400,-2.734886697712998,2.3141023145527164,0.15336435579925534,-3.7732331393531715,3.7309124731294996,-17.951242728982105,-2.734886697712998,-0.08990812584614444,active_to_inactive,active → inactive,-14.619694875386537,-1.1232590248778695,0.1925177304964539
empirical,B. years 1-4,459,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,inactive_to_inactive,inactive → inactive,0.0,0.0,
Hurdle-AR(1)-GRW-P,B. years 1-4,12047,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,inactive_to_inactive,inactive → inactive,0.0,0.0,0.0
empirical,C. years 5-7,324,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,inactive_to_inactive,inactive → inactive,0.0,0.0,
Hurdle-AR(1)-GRW-P,C. years 5-7,8093,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,inactive_to_inactive,inactive → inactive,0.0,0.0,0.0
empirical,D. years 8-20,1370,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,inactive_to_inactive,inactive → inactive,0.0,0.0,
Hurdle-AR(1)-GRW-P,D. years 8-20,49674,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,inactive_to_inactive,inactive → inactive,0.0,0.0,0.0
