model,stage,n,obs_mean,fit_mean,mean_resid,obs_median,pit_ks,obs_q90,obs_q95
exp_global,0-4,1086,4.9915110105429354,4.299784306131943,-0.6917267044109927,3.902056991355255,0.23229436550209515,9.68719109597039,12.116926290889069
exp_global,14-20,680,3.326459827504226,4.299784306131942,0.973324478627716,2.524241630437853,0.21828909430787813,6.634225950251819,8.364047339230265
exp_global,5-7,449,4.852957419254771,4.299784306131942,-0.5531731131228295,3.600009730581166,0.21828909430787813,9.770539663939982,12.2618015260278
exp_global,8-13,846,3.900577115451518,4.299784306131942,0.399207190680424,2.9143644012641174,0.21828909430787813,7.572724891313559,9.68719109597039
exp_stage,0-4,1086,4.9915110105429354,4.9915110105429354,0.0,3.902056991355255,0.20257923766914884,9.68719109597039,12.116926290889069
exp_stage,14-20,680,3.326459827504226,3.3264598275042263,4.440892098500626e-16,2.524241630437853,0.2726366647769341,6.634225950251819,8.364047339230265
exp_stage,5-7,449,4.852957419254771,4.852957461779825,4.252505370061499e-08,3.600009730581166,0.19603434370321043,9.770539663939982,12.2618015260278
exp_stage,8-13,846,3.900577115451518,3.90057714963114,3.417962224361304e-08,2.9143644012641174,0.23774565210736676,7.572724891313559,9.68719109597039
exp_stage_zr,0-4,1086,4.9915110105429354,5.003466746383734,0.011955735840798454,3.902056991355255,0.2017262484797432,9.68719109597039,12.116926290889069
exp_stage_zr,14-20,680,3.326459827504226,3.3191972173275075,-0.007262610176718365,2.524241630437853,0.2601856377953849,6.634225950251819,8.364047339230265
exp_stage_zr,5-7,449,4.852957419254771,4.859166638563302,0.006209219308530578,3.600009730581166,0.19202961631129908,9.770539663939982,12.2618015260278
exp_stage_zr,8-13,846,3.900577115451518,3.893137605570466,-0.007439509881051798,2.9143644012641174,0.22914230241840836,7.572724891313559,9.68719109597039
exp_year_linear,0-4,1086,4.9915110105429354,5.085780670285714,0.09426965974277834,3.902056991355255,0.19969585609257495,9.68719109597039,12.116926290889069
exp_year_linear,14-20,680,3.326459827504226,3.34491168226422,0.018451854759994113,2.524241630437853,0.25661468481883093,6.634225950251819,8.364047339230265
exp_year_linear,5-7,449,4.852957419254771,4.48866295833562,-0.36429446091915096,3.600009730581166,0.21140986800799716,9.770539663939982,12.2618015260278
exp_year_linear,8-13,846,3.900577115451518,3.966547903195751,0.06597078774423304,2.9143644012641174,0.2242819292294389,7.572724891313559,9.68719109597039
gamma_global,0-4,1086,4.9915110105429354,4.299784306131943,-0.6917267044109927,3.902056991355255,0.08723430900014258,9.68719109597039,12.116926290889069
gamma_global,14-20,680,3.326459827504226,4.299784306131942,0.973324478627716,2.524241630437853,0.22981570878344254,6.634225950251819,8.364047339230265
gamma_global,5-7,449,4.852957419254771,4.299784306131942,-0.5531731131228295,3.600009730581166,0.07876300895619506,9.770539663939982,12.2618015260278
gamma_global,8-13,846,3.900577115451518,4.299784306131942,0.399207190680424,2.9143644012641174,0.14839395915195175,7.572724891313559,9.68719109597039
gamma_stage,0-4,1086,4.9915110105429354,4.9915110105429354,0.0,3.902056991355255,0.06575799942777971,9.68719109597039,12.116926290889069
gamma_stage,14-20,680,3.326459827504226,3.3264598275042263,4.440892098500626e-16,2.524241630437853,0.1148489532416513,6.634225950251819,8.364047339230265
gamma_stage,5-7,449,4.852957419254771,4.852957419254772,8.881784197001252e-16,3.600009730581166,0.09939021276472787,9.770539663939982,12.2618015260278
gamma_stage,8-13,846,3.900577115451518,3.9005771154515183,4.440892098500626e-16,2.9143644012641174,0.09825290638201495,7.572724891313559,9.68719109597039
gamma_stage_zr,0-4,1086,4.9915110105429354,5.003528105629789,0.012017095086853224,3.902056991355255,0.06930967635827845,9.68719109597039,12.116926290889069
gamma_stage_zr,14-20,680,3.326459827504226,3.3189445056502818,-0.007515321853944101,2.524241630437853,0.1025832205142067,6.634225950251819,8.364047339230265
gamma_stage_zr,5-7,449,4.852957419254771,4.859904993593252,0.006947574338481033,3.600009730581166,0.10329550531235343,9.770539663939982,12.2618015260278
gamma_stage_zr,8-13,846,3.900577115451518,3.8929330613681867,-0.007644054083331131,2.9143644012641174,0.09222609759206979,7.572724891313559,9.68719109597039
gamma_year_linear,0-4,1086,4.9915110105429354,5.085781930348811,0.09427091980587576,3.902056991355255,0.0712668491895107,9.68719109597039,12.116926290889069
gamma_year_linear,14-20,680,3.326459827504226,3.344909862148009,0.01845003464378303,2.524241630437853,0.10183312929153399,6.634225950251819,8.364047339230265
gamma_year_linear,5-7,449,4.852957419254771,4.488663005600367,-0.3642944136544042,3.600009730581166,0.06632186453806212,9.770539663939982,12.2618015260278
gamma_year_linear,8-13,846,3.900577115451518,3.9665470236890745,0.06596990823755666,2.9143644012641174,0.10379425672405351,7.572724891313559,9.68719109597039
