year,n,mean_log_delta,median_log_delta,mode_log_delta,var_log_delta,q25_log_delta,q50_log_delta,q75_log_delta,q90_log_delta,q95_log_delta
0,10000,0.02100858438441204,0.0,0.02959116599805367,1.4342033719365659,-0.565309590575858,0.0,0.5996351481150223,1.49572710987204,2.2633253752240234
1,10000,0.22632188942321718,0.15090558264915,-0.04184064817002264,1.2700368826734714,-0.3119889573162963,0.15090558264915,0.7915254645186782,1.633822890862961,2.316803681531234
2,10000,0.1679304015857065,0.10575991253447681,0.043974569992666135,1.0765971370442218,-0.32971282203210606,0.10575991253447681,0.6771441419668496,1.3311352780764905,2.0129765412803584
3,10000,0.04972858566066786,0.02415910691529155,0.033747209789497745,1.0845073685120676,-0.444118338276204,0.02415910691529155,0.5802121608149129,1.1836132858861497,1.754431502460646
4,10000,0.030183777840237694,0.0,0.03844574934882017,0.9851672625856922,-0.4402483257485452,0.0,0.5176448750963685,1.103462355599884,1.6769819905078578
5,10000,-0.06407148318911206,0.0,0.012392334994198784,0.9835688419539494,-0.5565987032588628,0.0,0.42531034437492826,0.9977884745860011,1.534763174707862
6,10000,-0.03793884948784004,0.0,0.012494839791180823,1.0362120490074422,-0.5298712310358124,0.0,0.450898289641434,1.0530345123874918,1.666635812493045
7,10000,-0.08259487581068421,-0.012836611278367549,0.006056895231367321,1.094223796750441,-0.5941449674328154,-0.012836611278367549,0.44492757561990737,1.04693266668421,1.6688851071823456
8,10000,-0.007969515818752191,0.0,0.0388813339599543,1.054540330572371,-0.5240843015948267,0.0,0.49394267575568485,1.1258751689130702,1.778503474011445
9,10000,-0.029371763012875498,0.0,-0.006134546578958844,1.0470496433846508,-0.5158191696609793,0.0,0.4634420712742191,1.061975647298592,1.6617695703779543
10,10000,-0.018804664878836835,0.0,-0.034430047110410644,1.0429069528958135,-0.5168838140728335,0.0,0.4670289906581704,1.0953940041072838,1.7274640012980822
11,10000,-0.021157134152916562,0.0,0.004283060137428407,1.071343368662101,-0.5226897378463045,0.0,0.47386651415998815,1.0991486914212363,1.773404670849823
12,10000,-0.016821060512768604,0.0,0.00970882404706086,1.0242739930403226,-0.5080080524139128,0.0,0.4587380086629966,1.0857161904988355,1.7529078783702492
13,10000,-0.07794526788176089,0.0,-0.04425861861316349,1.0691261923689974,-0.586025753398298,0.0,0.39684036701199443,1.0114600642458895,1.7203651305600034
14,10000,0.017706658269571598,0.0,-0.0311133698005146,1.0637895712217273,-0.4918913125786135,0.0,0.49003349595152385,1.1461991651012144,1.893461186256284
15,10000,-0.002079637911472355,0.0,-0.02583062350016574,1.1897369888549965,-0.5467052245022604,0.0,0.5281340758972211,1.2329287568405314,2.0186995661900093
16,10000,0.026446347321902493,0.0,-0.025317459305639556,1.0654679681103316,-0.4618284000310974,0.0,0.49479521312300856,1.1517933500439101,1.8765372824290163
17,10000,-0.11333356890484879,0.0,-0.007754640063680096,1.1449240814895785,-0.600547411847161,0.0,0.37003461223523043,0.980673905059125,1.737003048123799
18,10000,0.03804260974328777,0.0,-0.009395055423899734,1.151698492637979,-0.46859562349406814,0.0,0.5097083649328171,1.2488886048895673,2.1065126904889544
19,10000,0.014664111142588985,0.0,-0.02936902924659135,1.1102461599092417,-0.4939711896119866,0.0,0.46686668695375727,1.2052547178416548,2.043474189503202
