source,stage,n,mu_hat,alpha_hat,ks_stat,mean,sd,q01,q50,q99,transition,transition_label,emp_q01,emp_q99,frac_outside_emp_1_99
empirical,B. years 1-4,6933,-0.04163272439827281,3.880758187235835,0.10286276424490459,0.8016822878054539,5.383435606224139,-12.94483378412551,-0.04163272439827281,14.96374744468787,active_to_active,active → active,-12.94483378412551,14.96374744468787,
Hurdle-AR(1)-GRW-PG-ZD,B. years 1-4,30696,0.5035824491155869,4.529257492189279,0.03413887492758372,0.7928082602790891,7.229813694358467,-19.713938901640105,0.5035824491155869,23.529575524356872,active_to_active,active → active,-12.94483378412551,14.96374744468787,0.05661975501694032
empirical,C. years 5-7,5159,-0.2749545490977976,3.977837899666588,0.07914968960797275,-0.483646063541846,5.607226416468631,-15.039792435935285,-0.2749545490977976,15.3427190681255,active_to_active,active → active,-15.039792435935285,15.3427190681255,
Hurdle-AR(1)-GRW-PG-ZD,C. years 5-7,23780,-0.24305506486346273,4.64108492663074,0.034744162126394085,-0.4192568448382333,7.51596628817836,-22.301438643806485,-0.24305506486346273,21.274754708023313,active_to_active,active → active,-15.039792435935285,15.3427190681255,0.04928511354079058
empirical,D. years 8-20,13042,-0.16149136041654444,3.6263475868231603,0.08720328677408007,-0.3046828128188147,5.165246032431425,-14.437688667385412,-0.16149136041654444,14.204637648150985,active_to_active,active → active,-14.437688667385412,14.204637648150985,
Hurdle-AR(1)-GRW-PG-ZD,D. years 8-20,88759,-0.04823182246217139,4.141575453613322,0.04130632194777273,-0.135159929548539,6.94460100835017,-20.9874538799705,-0.04823182246217139,20.54660237586769,active_to_active,active → active,-14.437688667385412,14.204637648150985,0.047792336551786295
empirical,B. years 1-4,817,4.063429644322265,2.700016588526714,0.16461365823303062,5.24374331161144,3.7934397152309227,1.1576890907294637,4.063429644322265,18.254220362188523,inactive_to_active,inactive → active,1.1576890907294637,18.254220362188523,
Hurdle-AR(1)-GRW-PG-ZD,B. years 1-4,3987,2.966482623859367,2.9493899792933447,0.18288087397365876,4.261474062263326,4.339250458284885,0.048370767546669434,2.966482623859367,18.976306217779637,inactive_to_active,inactive → active,1.1576890907294637,18.254220362188523,0.24830699774266365
empirical,C. years 5-7,449,3.600009730581166,2.705613643253057,0.19547107967321187,4.852957419254771,4.123068973829454,1.0903626678257634,3.600009730581166,19.56781395204399,inactive_to_active,inactive → active,1.0903626678257634,19.56781395204399,
Hurdle-AR(1)-GRW-PG-ZD,C. years 5-7,2196,2.9073090516142774,2.9086927728140313,0.1844089301359861,4.243365786595308,4.169698177174464,0.032695566219320085,2.9073090516142774,18.809954654414245,inactive_to_active,inactive → active,1.0903626678257634,19.56781395204399,0.22814207650273224
empirical,D. years 8-20,1526,2.7131713999282603,1.8991320159277125,0.20925337118669748,3.6447450343216627,3.042125543308222,1.0589091392016494,2.7131713999282603,17.778756193753477,inactive_to_active,inactive → active,1.0589091392016494,17.778756193753477,
Hurdle-AR(1)-GRW-PG-ZD,D. years 8-20,10858,2.949605394310579,2.982662264487335,0.18600472170149843,4.276271610119628,4.323016263706331,0.0395372546149598,2.949605394310579,19.795371182383935,inactive_to_active,inactive → active,1.0589091392016494,17.778756193753477,0.23742862405599557
empirical,B. years 1-4,642,-3.6510522137856363,2.4839941465824222,0.18013198997463364,-4.898404476087769,3.845451849434643,-18.39468275734683,-3.6510522137856363,-1.2315514575691924,active_to_inactive,active → inactive,-18.39468275734683,-1.2315514575691924,
Hurdle-AR(1)-GRW-PG-ZD,B. years 1-4,3144,-3.0594153830001853,2.493963076294261,0.14662904996423887,-4.06436968927974,4.0169474827522675,-19.369537342952217,-3.0594153830001853,-0.05153486698068941,active_to_inactive,active → inactive,-18.39468275734683,-1.2315514575691924,0.19338422391857507
empirical,C. years 5-7,469,-3.902056991355255,2.836702639140921,0.18560080891455433,-5.185206539731839,4.451195285059027,-21.92704540462478,-3.902056991355255,-1.1466714696569538,active_to_inactive,active → inactive,-21.92704540462478,-1.1466714696569538,
Hurdle-AR(1)-GRW-PG-ZD,C. years 5-7,2434,-3.332643838225874,2.6297238383287564,0.14111875709836408,-4.420232452963021,4.00414850585535,-19.828863159044776,-3.332643838225874,-0.11194011243130722,active_to_inactive,active → inactive,-21.92704540462478,-1.1466714696569538,0.13475760065735415
empirical,D. years 8-20,1444,-2.9143644012641174,1.8543443374484385,0.18697428255601967,-3.7597346801358373,2.881083824024215,-14.619694875386537,-2.9143644012641174,-1.1232590248778695,active_to_inactive,active → inactive,-14.619694875386537,-1.1232590248778695,
Hurdle-AR(1)-GRW-PG-ZD,D. years 8-20,11222,-2.7407748906528626,2.307275301849311,0.15244882626477163,-3.763896134077278,3.7505299859910672,-17.42003865396048,-2.7407748906528626,-0.08435975737764981,active_to_inactive,active → inactive,-14.619694875386537,-1.1232590248778695,0.19301372304402067
empirical,B. years 1-4,459,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,inactive_to_inactive,inactive → inactive,0.0,0.0,
Hurdle-AR(1)-GRW-PG-ZD,B. years 1-4,2173,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,inactive_to_inactive,inactive → inactive,0.0,0.0,0.0
empirical,C. years 5-7,324,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,inactive_to_inactive,inactive → inactive,0.0,0.0,
Hurdle-AR(1)-GRW-PG-ZD,C. years 5-7,1590,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,inactive_to_inactive,inactive → inactive,0.0,0.0,0.0
empirical,D. years 8-20,1370,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,inactive_to_inactive,inactive → inactive,0.0,0.0,
Hurdle-AR(1)-GRW-PG-ZD,D. years 8-20,9161,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,inactive_to_inactive,inactive → inactive,0.0,0.0,0.0
