prod_bin,n,dropout_rate,mean_q_t,median_q_t,source,bin_mid,se,lower,upper
"(1.0890000000000002, 2.181]",3760,0.20079787234042554,1.5584083617975284,1.5020676207365846,Empirical,1.5584083617975284,0.006533019381197491,0.18799315435327846,0.21360259032757262
"(2.181, 3.229]",3687,0.17493897477624085,2.6872657080242495,2.6448091533287252,Empirical,2.6872657080242495,0.006256763736525451,0.16267571785265098,0.18720223169983072
"(3.229, 4.419]",3575,0.13454545454545455,3.8156066603447307,3.811036551090419,Empirical,3.8156066603447307,0.005707141280558506,0.12335945763555987,0.14573145145534921
"(4.419, 5.829]",3700,0.0872972972972973,5.131218223869673,5.084821644986893,Empirical,5.131218223869673,0.004640493892105829,0.07820192926876987,0.09639266532582472
"(5.829, 7.622]",3631,0.07353346185623795,6.704440421058591,6.691237871384211,Empirical,6.704440421058591,0.0043315591654849534,0.06504360589188744,0.08202331782058846
"(7.622, 10.037]",3711,0.0479655079493398,8.73254340585258,8.706188398954271,Empirical,8.73254340585258,0.003507885331342044,0.04109005269990939,0.05484096319877021
"(10.037, 14.001]",3592,0.028953229398663696,11.763405479854308,11.65745760505647,Empirical,11.763405479854308,0.002797695316323175,0.023469746578670275,0.03443671221865712
"(14.001, 80.687]",3666,0.019094380796508457,20.622868613375385,18.3927022890417,Empirical,20.622868613375385,0.0022603212635686877,0.01466415111991383,0.023524610473103086
"(1.0890000000000002, 2.181]",95096,0.21241692605367207,1.6827318633189354,1.702397300444587,Simulated,1.6827318633189354,0.001326360629128898,0.20981725922057942,0.21501659288676472
"(2.181, 3.229]",112820,0.15279205814571883,2.7051656762156884,2.705202143107893,Simulated,2.7051656762156884,0.001071155080326774,0.15069259418827835,0.15489152210315932
"(3.229, 4.419]",118782,0.11700425990469937,3.8099722812763166,3.804354062400031,Simulated,3.8099722812763166,0.000932620214208082,0.11517632428485153,0.11883219552454721
"(4.419, 5.829]",114168,0.0895609978277626,5.0922844462154995,5.078162931490139,Simulated,5.0922844462154995,0.0008451089329018378,0.08790458431927499,0.0912174113362502
"(5.829, 7.622]",107015,0.07204597486333691,6.670956623713059,6.645303626626244,Simulated,6.670956623713059,0.0007903978735294758,0.07049679503121914,0.07359515469545469
"(7.622, 10.037]",93831,0.05515234837100745,8.730375363523272,8.684494975645842,Simulated,8.730375363523272,0.0007452289647415799,0.053691699600113954,0.05661299714190095
"(10.037, 14.001]",83842,0.039479020061544336,11.771165371094401,11.651008488360496,Simulated,11.771165371094401,0.000672520914603582,0.038160879068921315,0.04079716105416736
"(14.001, 80.687]",95521,0.02330377613299693,22.06757284273466,18.99041666421632,Simulated,22.06757284273466,0.000488138962687648,0.02234702376612914,0.024260528499864722
