year,n,mean_log_delta,median_log_delta,mode_log_delta,var_log_delta,q25_log_delta,q50_log_delta,q75_log_delta,q90_log_delta,q95_log_delta
0,10000,0.06338834113783622,0.0,0.05171601666437464,1.5585784702220369,-0.5693135985094351,0.0,0.6283371441178747,1.8652769010676,2.4819169029266988
1,10000,0.2623898866728896,0.15243759944895496,-0.030894507461259213,1.3788290686508375,-0.3133806047870054,0.15243759944895496,0.8295058877955452,1.90533457690278,2.4924353034244664
2,10000,0.17672436709721634,0.09967759518131925,-0.021128991408681408,1.0850966809623457,-0.3278373319215748,0.09967759518131925,0.6605864258384899,1.4161212045249956,2.2027408656033023
3,10000,0.047886793222491654,0.00959673738296729,0.0024222166410043933,1.1082402259576625,-0.4570363725732184,0.00959673738296729,0.5564231411736338,1.2118654025679014,1.9661198965669615
4,10000,0.01822534909251623,0.0,-0.032052274265620184,1.0311878021879202,-0.45305543470648346,0.0,0.5081067412109372,1.1104036963247828,1.8191174230507303
5,10000,-0.049911027556736716,-0.0040162107153375315,-0.0243691108968922,1.0931399499135537,-0.548842350886531,-0.0040162107153375315,0.4368794066157807,1.0653665465022253,1.8868636133853829
6,10000,-0.05737912879982514,0.0,-0.024199991387940933,1.0776333395751514,-0.5494390563218442,0.0,0.426840881827942,1.030167158852365,1.8604413496266865
7,10000,-0.06228966796126663,-0.007053116441049223,-0.02763625201579112,1.1651652921444113,-0.5872162350732515,-0.007053116441049223,0.45417513924217723,1.1266212280039767,1.965574324720201
8,10000,-0.008340576330715296,0.0,0.0027504427378297613,1.057455270786499,-0.5082092768262334,0.0,0.4828538825963463,1.183229420628701,1.9167173587361441
9,10000,-0.07794355198834967,0.0,0.030707641508154193,1.0287426093052219,-0.5626646353904001,0.0,0.43263890127259513,1.051258370222292,1.6647756669064624
10,10000,0.009183720744488099,0.0,0.0018129636939150373,1.0609084418791423,-0.4983204643151378,0.0,0.5026749353356803,1.2235038233602031,1.9165138938282036
11,10000,-0.033130257511804914,0.0,-0.01771080196423247,1.0390433229171951,-0.5232661216132168,0.0,0.4703307577948201,1.133220334467004,1.8431355962497054
12,10000,-0.020928744019821675,0.0,-0.04235262954173358,1.0515226617418416,-0.5366819764964718,0.0,0.4774549605779094,1.1668339695767564,1.9077481154773177
13,10000,-0.07630309346251776,-0.011493412035640194,-0.026938677235030628,1.0753893227102356,-0.5805425033981856,-0.011493412035640194,0.4039117204808113,1.0998887934519619,1.880886404776569
14,10000,-0.018196667397235418,0.0,-0.018320880402157957,1.0383953821858296,-0.5193846488198591,0.0,0.47640567470528455,1.1859507686822033,1.8676290226366274
15,10000,0.014622656722960176,0.0,-0.038791298652385287,1.096673609649315,-0.5071215515001012,0.0,0.5331835329576291,1.318516841660296,1.9476271146939916
16,10000,-0.0008039211467815147,0.0,-0.00010835378839102461,1.0377913374706929,-0.48997483447900536,0.0,0.4962850521167367,1.225690413914556,1.8720832627386421
17,10000,-0.12536389633221462,-0.0036291581810162787,0.023332412702290917,1.1179266473933864,-0.5961142195074964,-0.0036291581810162787,0.38055646739176585,1.0580045155195785,1.771924848930435
18,10000,0.07034550237375925,0.0,-0.02808519859299774,1.081626625708022,-0.42959371316426753,0.0,0.5637473881595283,1.4577574519600645,2.022972481970562
19,10000,-0.004814387295584134,0.0,-0.04087962507192078,1.0566479773316855,-0.5035322469470394,0.0,0.4996159798266018,1.2729029520691542,1.894330743371093
