source,stage,transition,transition_label,n,mu_hat,alpha_hat,ks_stat,mean,sd,q01,q50,q99,emp_q01,emp_q99,frac_outside_emp_1_99
empirical,B. years 1-4,active_to_active,active → active,6933,-0.04163272439827281,3.880758187235835,0.10286276424490459,0.8016822878054539,5.383435606224139,-12.94483378412551,-0.04163272439827281,14.96374744468787,-12.94483378412551,14.96374744468787,
Hurdle-AR(1)-GRW-PG-ZD-RM,B. years 1-4,active_to_active,active → active,31158,0.5146234556567877,4.6568271046177285,0.03185875360438081,0.7934976289876932,7.400466229575894,-19.4316831436303,0.5146234556567877,23.60878907479729,-12.94483378412551,14.96374744468787,0.058668720713781375
empirical,C. years 5-7,active_to_active,active → active,5159,-0.2749545490977976,3.977837899666588,0.07914968960797275,-0.483646063541846,5.607226416468631,-15.039792435935285,-0.2749545490977976,15.3427190681255,-15.039792435935285,15.3427190681255,
Hurdle-AR(1)-GRW-PG-ZD-RM,C. years 5-7,active_to_active,active → active,24104,-0.2738860187360992,4.75682970572077,0.029759787678080296,-0.37888535216543723,7.598331174200097,-23.69659867020109,-0.2738860187360992,21.67496933002828,-15.039792435935285,15.3427190681255,0.053891470295386656
empirical,D. years 8-20,active_to_active,active → active,13042,-0.16149136041654444,3.6263475868231603,0.08720328677408007,-0.3046828128188147,5.165246032431425,-14.437688667385412,-0.16149136041654444,14.204637648150985,-14.437688667385412,14.204637648150985,
Hurdle-AR(1)-GRW-PG-ZD-RM,D. years 8-20,active_to_active,active → active,90108,-0.08656937860192182,4.142551806498936,0.03628996868019002,-0.0679591798692944,7.016242233227166,-20.809649856594547,-0.08656937860192182,20.886465899990316,-14.437688667385412,14.204637648150985,0.04762063301815599
empirical,B. years 1-4,inactive_to_active,inactive → active,817,4.063429644322265,2.700016588526714,0.16461365823303062,5.24374331161144,3.7934397152309227,1.1576890907294637,4.063429644322265,18.254220362188523,1.1576890907294637,18.254220362188523,
Hurdle-AR(1)-GRW-PG-ZD-RM,B. years 1-4,inactive_to_active,inactive → active,3730,4.123730237110568,2.482303824394398,0.10547406565973394,4.881517211237155,3.3163140785617418,0.4583296594335292,4.123730237110568,15.483898819531225,1.1576890907294637,18.254220362188523,0.07238605898123325
empirical,C. years 5-7,inactive_to_active,inactive → active,449,3.600009730581166,2.705613643253057,0.19547107967321187,4.852957419254771,4.123068973829454,1.0903626678257634,3.600009730581166,19.56781395204399,1.0903626678257634,19.56781395204399,
Hurdle-AR(1)-GRW-PG-ZD-RM,C. years 5-7,inactive_to_active,inactive → active,2147,4.002016119249939,2.353814766379044,0.10032126898723576,4.698174648206648,3.1445442176582485,0.4384864226537854,4.002016119249939,14.493047842941662,1.0903626678257634,19.56781395204399,0.06707033069399161
empirical,D. years 8-20,inactive_to_active,inactive → active,1526,2.7131713999282603,1.8991320159277125,0.20925337118669748,3.6447450343216627,3.042125543308222,1.0589091392016494,2.7131713999282603,17.778756193753477,1.0589091392016494,17.778756193753477,
Hurdle-AR(1)-GRW-PG-ZD-RM,D. years 8-20,inactive_to_active,inactive → active,10438,3.0572501613050544,1.7859496222794757,0.10137572229176799,3.582645254266154,2.407604798390338,0.37231343714162035,3.0572501613050544,11.473839085593657,1.0589091392016494,17.778756193753477,0.09628281279938686
empirical,B. years 1-4,active_to_inactive,active → inactive,642,-3.6510522137856363,2.4839941465824222,0.18013198997463364,-4.898404476087769,3.845451849434643,-18.39468275734683,-3.6510522137856363,-1.2315514575691924,-18.39468275734683,-1.2315514575691924,
Hurdle-AR(1)-GRW-PG-ZD-RM,B. years 1-4,active_to_inactive,active → inactive,2853,-3.468996024417369,2.4490560067542817,0.14357726269547189,-4.535091726162544,3.8803588536419986,-19.913418609463207,-3.468996024417369,-0.5523584868687529,-18.39468275734683,-1.2315514575691924,0.0946372239747634
empirical,C. years 5-7,active_to_inactive,active → inactive,469,-3.902056991355255,2.836702639140921,0.18560080891455433,-5.185206539731839,4.451195285059027,-21.92704540462478,-3.902056991355255,-1.1466714696569538,-21.92704540462478,-1.1466714696569538,
Hurdle-AR(1)-GRW-PG-ZD-RM,C. years 5-7,active_to_inactive,active → inactive,2302,-3.9270224141015944,2.7013122122877546,0.13778141374457697,-5.057057670406602,4.073842784806256,-19.519112956530773,-3.9270224141015944,-0.6207430373449542,-21.92704540462478,-1.1466714696569538,0.06472632493483926
empirical,D. years 8-20,active_to_inactive,active → inactive,1444,-2.9143644012641174,1.8543443374484385,0.18697428255601967,-3.7597346801358373,2.881083824024215,-14.619694875386537,-2.9143644012641174,-1.1232590248778695,-14.619694875386537,-1.1232590248778695,
Hurdle-AR(1)-GRW-PG-ZD-RM,D. years 8-20,active_to_inactive,active → inactive,10910,-2.9301659012048966,2.2282092244981455,0.1532702142214799,-3.97766202095846,3.6252273355392974,-18.134907538311957,-2.9301659012048966,-0.4310555712558324,-14.619694875386537,-1.1232590248778695,0.12493125572868928
empirical,B. years 1-4,inactive_to_inactive,inactive → inactive,459,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Hurdle-AR(1)-GRW-PG-ZD-RM,B. years 1-4,inactive_to_inactive,inactive → inactive,2259,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
empirical,C. years 5-7,inactive_to_inactive,inactive → inactive,324,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Hurdle-AR(1)-GRW-PG-ZD-RM,C. years 5-7,inactive_to_inactive,inactive → inactive,1447,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
