year,n,mean_log_delta,median_log_delta,mode_log_delta,var_log_delta,q25_log_delta,q50_log_delta,q75_log_delta,q90_log_delta,q95_log_delta
0,10000,0.020896518497345657,0.0,-0.027537160263767957,1.4815613022875966,-0.5606108817290104,0.0,0.6129525931144317,1.532935279851472,2.2646984922357327
1,10000,0.23131547022364615,0.15412285674271786,-0.017071952907242727,1.2442689221207703,-0.2957920164420377,0.15412285674271786,0.7971876003428179,1.6155676274130693,2.305338773399846
2,10000,0.16398907031131416,0.11247852284705429,0.03092962277126654,1.0646873952424138,-0.3414449787411789,0.11247852284705429,0.6679611315568883,1.301456847597649,1.9951559413989435
3,10000,0.0795376589797565,0.0451517452557455,0.03234655452616808,1.051866478347305,-0.4154649541018692,0.0451517452557455,0.593127448062515,1.2081307605073817,1.757473809174506
4,10000,0.014354318129616067,0.0,-0.011276777776298985,0.9749820946110638,-0.46729687625786265,0.0,0.5178267764115025,1.086420624471944,1.5720282720020868
5,10000,-0.058038080667916776,0.0,-0.04284822024090529,0.9649265470936043,-0.5426242179445682,0.0,0.42834312717172046,0.9884111686849618,1.5440446021531469
6,10000,-0.03997984659418511,0.0,-0.013045331790686454,1.029301796288281,-0.5260120922215752,0.0,0.4414751766361218,1.0197633310895835,1.6586405632781316
7,10000,-0.0604049716600218,-0.006443847589726159,0.026219903560397384,1.0628134289900562,-0.5565202677267056,-0.006443847589726159,0.44099614873445414,1.0425364636478551,1.684788929053234
8,10000,-0.015655091401994437,0.0,-0.01567396202140392,1.0412869425997335,-0.5111411366571094,0.0,0.47980512149871046,1.089982771555254,1.7281047699024696
9,10000,-0.020231241144422978,0.0,-0.028292218696287286,1.001001411460452,-0.5146867298785507,0.0,0.45953689664447483,1.025480905358956,1.6282747734028429
10,10000,-0.033239282867903716,0.0,-0.03755193795316969,1.0435650003217491,-0.5163069248257061,0.0,0.4649681589118386,1.0641908117739114,1.6643840654436737
11,10000,0.0029404162699483366,0.0,0.024577332602254476,1.0035962297751002,-0.49835029149401744,0.0,0.4795849686894058,1.0676241312147523,1.7861295225767841
12,10000,-0.015373835163315584,0.0,-0.003840810256365401,0.9781221705398694,-0.49859418470105343,0.0,0.45987544000010216,1.0534017418339123,1.6529180238604018
13,10000,-0.06730561755036374,-0.0014909567053716932,-0.038015635906929024,0.9494197324733552,-0.5474057514183015,-0.0014909567053716932,0.40172642872820163,0.9659421356625009,1.5530670564714077
14,10000,0.011975473310796935,0.0,-0.021900259041610415,0.9639197832968114,-0.47391521168296424,0.0,0.486678636637265,1.0571927334980056,1.6665835734726875
15,10000,0.010544255511094619,0.0,0.0261103832616687,1.036015898721395,-0.49573991278252705,0.0,0.4924307065462569,1.1198079376338115,1.7820470044751173
16,10000,0.03031813686834571,0.0,-0.030811378267239675,0.9172273611556855,-0.43088770186275727,0.0,0.48502742787157366,1.051062564676389,1.6322409316976103
17,10000,-0.07700696869860087,0.0,0.03150419290555906,0.9958130367582704,-0.5285535969782478,0.0,0.39790885668034043,0.9531307233296235,1.5834742621785731
18,10000,0.04597034757118143,0.0,0.03638038322494275,0.9843920392897173,-0.4314380604672291,0.0,0.49868249115520347,1.1225498612117644,1.8089164498230739
19,10000,0.00034304950057968426,0.0,-0.030519157941836017,0.9508831573892116,-0.4838348696519447,0.0,0.43707806437034064,1.0457917672895867,1.7406894784701277
