source,stage,n,mu_hat,alpha_hat,ks_stat,mean,sd,q01,q50,q99,transition,transition_label,emp_q01,emp_q99,frac_outside_emp_1_99
empirical,B. years 1-4,6933,-0.04163272439827281,3.880758187235835,0.10286276424490459,0.8016822878054539,5.383435606224139,-12.94483378412551,-0.04163272439827281,14.96374744468787,active_to_active,active → active,-12.94483378412551,14.96374744468787,
hurdle_ar1_pg_zr_pad,B. years 1-4,154750,0.5617482040129365,4.498953688413406,0.0320083447596686,0.8083106822598598,7.1900096579428965,-19.30178622463373,0.5617482040129365,22.948379448744795,active_to_active,active → active,-12.94483378412551,14.96374744468787,0.05534087237479806
empirical,C. years 5-7,5159,-0.2749545490977976,3.977837899666588,0.07914968960797275,-0.483646063541846,5.607226416468631,-15.039792435935285,-0.2749545490977976,15.3427190681255,active_to_active,active → active,-15.039792435935285,15.3427190681255,
hurdle_ar1_pg_zr_pad,C. years 5-7,119824,-0.21828348920334317,4.653475011458326,0.03233997408762268,-0.3319019332975687,7.558913860573164,-22.557215900895255,-0.21828348920334317,21.835857393207593,active_to_active,active → active,-15.039792435935285,15.3427190681255,0.051250166911470156
empirical,D. years 8-20,13042,-0.16149136041654444,3.6263475868231603,0.08720328677408007,-0.3046828128188147,5.165246032431425,-14.437688667385412,-0.16149136041654444,14.204637648150985,active_to_active,active → active,-14.437688667385412,14.204637648150985,
hurdle_ar1_pg_zr_pad,D. years 8-20,466856,-0.059139372707435856,4.144909355412027,0.03868441116179988,-0.10549548436733358,7.071592245134563,-20.984051058082024,-0.059139372707435856,20.874871338754687,active_to_active,active → active,-14.437688667385412,14.204637648150985,0.04795054577856984
empirical,B. years 1-4,817,4.063429644322265,2.700016588526714,0.16461365823303062,5.24374331161144,3.7934397152309227,1.1576890907294637,4.063429644322265,18.254220362188523,inactive_to_active,inactive → active,1.1576890907294637,18.254220362188523,
hurdle_ar1_pg_zr_pad,B. years 1-4,19465,3.040215898290286,3.0262929766242657,0.1831107033651702,4.358800308284894,4.322464640224352,0.04582205473532513,3.040215898290286,19.93561097727697,inactive_to_active,inactive → active,1.1576890907294637,18.254220362188523,0.24947341381967633
empirical,C. years 5-7,449,3.600009730581166,2.705613643253057,0.19547107967321187,4.852957419254771,4.123068973829454,1.0903626678257634,3.600009730581166,19.56781395204399,inactive_to_active,inactive → active,1.0903626678257634,19.56781395204399,
hurdle_ar1_pg_zr_pad,C. years 5-7,10860,3.0541465860293098,2.9867018692041047,0.1798619345425371,4.327783692136027,4.311286297506717,0.04392127296738097,3.0541465860293098,19.95265691065899,inactive_to_active,inactive → active,1.0903626678257634,19.56781395204399,0.23370165745856353
empirical,D. years 8-20,1526,2.7131713999282603,1.8991320159277125,0.20925337118669748,3.6447450343216627,3.042125543308222,1.0589091392016494,2.7131713999282603,17.778756193753477,inactive_to_active,inactive → active,1.0589091392016494,17.778756193753477,
hurdle_ar1_pg_zr_pad,D. years 8-20,46699,2.948020245044644,2.9551118245894856,0.18438409857271842,4.26595102235817,4.265235687201713,0.04297986822246858,2.948020245044644,19.53004958744807,inactive_to_active,inactive → active,1.0589091392016494,17.778756193753477,0.23426625837812373
empirical,B. years 1-4,642,-3.6510522137856363,2.4839941465824222,0.18013198997463364,-4.898404476087769,3.845451849434643,-18.39468275734683,-3.6510522137856363,-1.2315514575691924,active_to_inactive,active → inactive,-18.39468275734683,-1.2315514575691924,
hurdle_ar1_pg_zr_pad,B. years 1-4,14998,-3.1785188709702368,2.747750232279226,0.15729029306911047,-4.338670558635354,4.3459735912016395,-20.30393746591228,-3.1785188709702368,-0.06244523946344569,active_to_inactive,active → inactive,-18.39468275734683,-1.2315514575691924,0.2025603413788505
empirical,C. years 5-7,469,-3.902056991355255,2.836702639140921,0.18560080891455433,-5.185206539731839,4.451195285059027,-21.92704540462478,-3.902056991355255,-1.1466714696569538,active_to_inactive,active → inactive,-21.92704540462478,-1.1466714696569538,
hurdle_ar1_pg_zr_pad,C. years 5-7,11685,-3.4009338175388315,2.8848941851813947,0.15383806167652536,-4.610831836485929,4.4675031917374834,-21.475450014640362,-3.4009338175388315,-0.07119587085565583,active_to_inactive,active → inactive,-21.92704540462478,-1.1466714696569538,0.162002567394095
empirical,D. years 8-20,1444,-2.9143644012641174,1.8543443374484385,0.18697428255601967,-3.7597346801358373,2.881083824024215,-14.619694875386537,-2.9143644012641174,-1.1232590248778695,active_to_inactive,active → inactive,-14.619694875386537,-1.1232590248778695,
hurdle_ar1_pg_zr_pad,D. years 8-20,47139,-2.7743300854281006,2.563212229088252,0.16940751901022166,-3.9561187545370173,4.131058740853802,-19.244236928007567,-2.7743300854281006,-0.06003665527162159,active_to_inactive,active → inactive,-14.619694875386537,-1.1232590248778695,0.2192452109718068
empirical,B. years 1-4,459,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,inactive_to_inactive,inactive → inactive,0.0,0.0,
hurdle_ar1_pg_zr_pad,B. years 1-4,10787,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,inactive_to_inactive,inactive → inactive,0.0,0.0,0.0
empirical,C. years 5-7,324,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,inactive_to_inactive,inactive → inactive,0.0,0.0,
hurdle_ar1_pg_zr_pad,C. years 5-7,7631,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,inactive_to_inactive,inactive → inactive,0.0,0.0,0.0
empirical,D. years 8-20,1370,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,inactive_to_inactive,inactive → inactive,0.0,0.0,
hurdle_ar1_pg_zr_pad,D. years 8-20,39306,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,inactive_to_inactive,inactive → inactive,0.0,0.0,0.0
