prod_bin,n,dropout_rate,mean_q_t,median_q_t,source,bin_mid,se,lower,upper
"(1.0890000000000002, 2.181]",3760,0.20079787234042554,1.5584083617975284,1.5020676207365846,Empirical,1.5584083617975284,0.006533019381197491,0.18799315435327846,0.21360259032757262
"(2.181, 3.229]",3687,0.17493897477624085,2.6872657080242495,2.6448091533287252,Empirical,2.6872657080242495,0.006256763736525451,0.16267571785265098,0.18720223169983072
"(3.229, 4.419]",3575,0.13454545454545455,3.8156066603447307,3.811036551090419,Empirical,3.8156066603447307,0.005707141280558506,0.12335945763555987,0.14573145145534921
"(4.419, 5.829]",3700,0.0872972972972973,5.131218223869673,5.084821644986893,Empirical,5.131218223869673,0.004640493892105829,0.07820192926876987,0.09639266532582472
"(5.829, 7.622]",3631,0.07353346185623795,6.704440421058591,6.691237871384211,Empirical,6.704440421058591,0.0043315591654849534,0.06504360589188744,0.08202331782058846
"(7.622, 10.037]",3711,0.0479655079493398,8.73254340585258,8.706188398954271,Empirical,8.73254340585258,0.003507885331342044,0.04109005269990939,0.05484096319877021
"(10.037, 14.001]",3592,0.028953229398663696,11.763405479854308,11.65745760505647,Empirical,11.763405479854308,0.002797695316323175,0.023469746578670275,0.03443671221865712
"(14.001, 80.687]",3666,0.019094380796508457,20.622868613375385,18.3927022890417,Empirical,20.622868613375385,0.0022603212635686877,0.01466415111991383,0.023524610473103086
"(1.0890000000000002, 2.181]",99709,0.15084897050416712,1.6631146784191548,1.6751303407387446,Simulated,1.6631146784191548,0.0011334345977263578,0.14862743869262346,0.1530705023157108
"(2.181, 3.229]",106485,0.11471099215851997,2.7007907003979787,2.697379862928753,Simulated,2.7007907003979787,0.0009765642831345161,0.11279692616357632,0.11662505815346362
"(3.229, 4.419]",109444,0.09620445159168159,3.807992775816719,3.798260665981437,Simulated,3.807992775816719,0.0008913262653428451,0.09445745211160961,0.09795145107175357
"(4.419, 5.829]",105756,0.08352244789893717,5.093585858409067,5.081052941612507,Simulated,5.093585858409067,0.0008507657837128778,0.08185494696285993,0.08518994883501442
"(5.829, 7.622]",100404,0.06969841838970559,6.678174646590352,6.654425841267659,Simulated,6.678174646590352,0.0008036146283476789,0.06812333371814414,0.07127350306126704
"(7.622, 10.037]",91788,0.05774175273456225,8.73952284965476,8.693555580369264,Simulated,8.73952284965476,0.0007699047543565008,0.05623273941602351,0.05925076605310099
"(10.037, 14.001]",84910,0.04786244258626781,11.79716426009858,11.690213557054191,Simulated,11.79716426009858,0.0007326015900966116,0.04642654346967845,0.04929834170285717
"(14.001, 80.687]",109215,0.03239481756169024,22.837259971894657,19.447039684025963,Simulated,22.837259971894657,0.000535729691885988,0.03134478736559371,0.03344484775778678
