year,n_zero_transitions,observed_restart_rate,restart_intercept,restart_rho_zero_run_excess,restart_scholar_coef_per_tau,scholar_effect_direction,pred_restart_run1_u_low,pred_restart_run1_u_mid,pred_restart_run1_u_high,pred_restart_run1,pred_restart_run2,pred_restart_run3,pred_restart_run5
0,434,0.619815668202765,0.5606123528416403,0.2908537554047681,0.23723848643029716,higher restart,0.5801462684716941,0.6365942150709533,0.6895145672092502,0.6365942150709533,0.5670336400285557,0.4947264060715175,0.3537027493966612
1,433,0.6836027713625866,0.9684947220665319,0.2908537554047681,0.23723848643029716,higher restart,0.6750808842859677,0.7248193623186983,0.7695431188922456,0.7248193623186983,0.6632119823979375,0.5955090471604879,0.4514236283860402
2,323,0.6377708978328174,0.8735596660407591,0.2908537554047681,0.23723848643029716,higher restart,0.6539213854599781,0.7054858502331246,0.7522778817859311,0.7054858502331246,0.6416897983799951,0.5724495106113433,0.4280392787864754
3,258,0.6201550387596899,0.8683036835548521,0.2908537554047681,0.23723848643029716,higher restart,0.6527309531581796,0.704392607282175,0.7512971003681321,0.704392607282175,0.6404804239973798,0.5711626162040926,0.42675298992458677
4,262,0.5916030534351145,0.7348726096067703,0.2908537554047681,0.23723848643029716,higher restart,0.6219031804950923,0.675873621132755,0.7255400839706634,0.675873621132755,0.6092162255124846,0.5382165918987836,0.3944744437799288
5,258,0.5581395348837209,0.6282846585662709,0.2908537554047681,0.23723848643029716,higher restart,0.5965345185520715,0.6521004120615314,0.7038133045039873,0.6521004120615314,0.5835663239306745,0.5116421822729847,0.3693211092747432
6,262,0.5916030534351145,0.8074795691881176,0.2908537554047681,0.23723848643029716,higher restart,0.6388188018758787,0.6915721558747727,0.7397593316858466,0.6915721558747727,0.6263584308323176,0.5562044745114584,0.41194383315222927
7,253,0.5928853754940712,0.8282672810568356,0.2908537554047681,0.23723848643029716,higher restart,0.6436011641218563,0.6959884309132842,0.7437412979550629,0.6959884309132842,0.6312105330178399,0.5613295627652253,0.41698862828145195
8,275,0.5927272727272728,0.8052999963763703,0.2908537554047681,0.23723848643029716,higher restart,0.6383157584744785,0.6911070587411738,0.7393395109964093,0.6911070587411738,0.625848197356247,0.5556664007527379,0.41141594163836404
9,259,0.5173745173745173,0.4961300645431888,0.2908537554047681,0.23723848643029716,higher restart,0.5643637976571266,0.6215494519384669,0.6755440421906014,0.6215494519384669,0.5511396249368213,0.4786186856776946,0.33910505064836205
10,276,0.5471014492753623,0.6234229981541363,0.2908537554047681,0.23723848643029716,higher restart,0.5953638617361836,0.6509966552025107,0.7027988389023938,0.6509966552025107,0.5823843815480421,0.5104273597547921,0.3681894378111993
11,266,0.5451127819548872,0.6642604101252726,0.2908537554047681,0.23723848643029716,higher restart,0.6051623075424464,0.6602167801161647,0.711257428906529,0.6602167801161647,0.5922818891263282,0.5206265120516126,0.37773935879304466
12,259,0.5135135135135135,0.5440653953895476,0.2908537554047681,0.23723848643029716,higher restart,0.5761105572527784,0.632757624507144,0.6859610622644031,0.632757624507144,0.5629668364472488,0.49059058215840196,0.34992938323387135
13,241,0.4979253112033195,0.5352813003724495,0.2908537554047681,0.23723848643029716,higher restart,0.5739639968457104,0.6307140468092182,0.6840657219878814,0.6307140468092182,0.560804457948626,0.4883955316650222,0.3479338311897026
14,257,0.5291828793774319,0.6513438470784395,0.2908537554047681,0.23723848643029716,higher restart,0.6020718575829712,0.6573132316121909,0.708597529355011,0.6573132316121909,0.5891590662535728,0.5174020524380841,0.37470811951892335
15,230,0.5434782608695652,0.7587897836053994,0.2908537554047681,0.23723848643029716,higher restart,0.6275104398687736,0.6810909250628311,0.7302769728694836,0.6810909250628311,0.6148951257533442,0.5441552429661818,0.4002015857414119
16,219,0.5068493150684932,0.6118929949708554,0.2908537554047681,0.23723848643029716,higher restart,0.5925831911889426,0.6483724987989579,0.7003849191459155,0.6483724987989579,0.5795775018948024,0.5075457980944093,0.365511359319672
17,202,0.48514851485148514,0.46264092963235315,0.2908537554047681,0.23723848643029716,higher restart,0.5561132364162411,0.6136404907599485,0.6681610366147588,0.6136404907599485,0.5428414880062379,0.4702684713628304,0.33164062402341565
18,219,0.4931506849315068,0.4610427692119802,0.2908537554047681,0.23723848643029716,higher restart,0.5557186931334955,0.6132615208098071,0.6678065943242355,0.6132615208098071,0.5424448540816038,0.46987036297484175,0.33128647894635194
19,193,0.5284974093264249,0.6615288758978292,0.2908537554047681,0.23723848643029716,higher restart,0.6045094451939318,0.6596037455436072,0.7106961293534648,0.6596037455436072,0.5916221012671042,0.519944752646377,0.37709752004006813
