year,n,mean_log_delta,median_log_delta,mode_log_delta,var_log_delta,q25_log_delta,q50_log_delta,q75_log_delta,q90_log_delta,q95_log_delta
0,50000,0.02113805778780746,0.0,-0.013350851671338315,1.4721477854802891,-0.5254189761961476,0.0,0.6295478487659733,1.447032167493129,2.187187704961692
1,50000,0.24727761103766213,0.20102421652434604,0.025953226040836608,1.2901710453393243,-0.269601319957689,0.20102421652434604,0.8263465215794384,1.607552626400421,2.255488139612252
2,50000,0.17907316599734063,0.14278902140951621,-0.02327449247509028,1.0305601915363203,-0.3009035805816651,0.14278902140951621,0.6847625049564332,1.3108377224158294,1.9120394523882833
3,50000,0.05113933109974171,0.043782816901224764,0.0025463830144221156,1.02241978309905,-0.4142735745861045,0.043782816901224764,0.5806024324376231,1.1317319720335433,1.6165851042004171
4,50000,0.04454808781411316,0.030007935063003865,-0.0050528969292265025,0.9915184852113589,-0.41622982800438413,0.030007935063003865,0.5545195945904616,1.0931045714456908,1.6028700177247817
5,50000,-0.054799372570039556,0.0,-0.003941151791259756,0.9991991873477185,-0.5265692932342687,0.0,0.46152905216299706,1.0058108092061815,1.489307186030033
6,50000,-0.042924943797867356,0.0,-0.013820907391639103,0.9899209598826574,-0.5179601732461919,0.0,0.45120979545506057,1.0182173272770176,1.5508955999948513
7,50000,-0.06160818172598323,0.0,0.019248335521006243,1.0599916925203612,-0.5459540007488677,0.0,0.4587889837710233,1.0297620639805432,1.58237444676663
8,50000,-0.00308113965014358,0.0,-0.01592146423379681,1.0136949196746914,-0.49051587652851925,0.0,0.4917725934740137,1.0854203653144985,1.7073350523756208
9,50000,-0.042601450585157664,0.0,0.003612876630151529,0.9789018087602593,-0.5080494310002515,0.0,0.4587965880555732,1.0123209246989198,1.5234334202938709
10,50000,-0.008204287837641428,0.0,-0.020174450910178,0.999076195235475,-0.48671784772397986,0.0,0.4831450130130047,1.0703524459095433,1.6418752783916695
11,50000,-0.025354817302713672,0.0,0.007780465045764906,0.9893145641467513,-0.49931368511209506,0.0,0.4686028846921177,1.0340856913955923,1.5801575189217885
12,50000,-0.01121921279011165,0.0,0.023070443880056857,0.9680743346175315,-0.5027302025655748,0.0,0.47410316706978867,1.0741599123417824,1.6106527035953362
13,50000,-0.06731693277775659,0.0,0.0014703312559016801,0.9846319616008311,-0.5448518239872293,0.0,0.413835278117724,0.9786042481087251,1.555933355521559
14,50000,0.015037966949894403,0.0,-0.017819038607765236,0.9655100475125427,-0.4577216780420703,0.0,0.4881355560975685,1.0717725440882337,1.6813271337188336
15,50000,0.008618720051930113,0.0,0.014476372067271814,1.0228754062845928,-0.48314544979773766,0.0,0.5110377632992342,1.1305430500812068,1.7063350671954238
16,50000,0.02411902724666078,0.0,-0.022033687575671923,0.9479166314095524,-0.4285643754358066,0.0,0.4940946210534265,1.0466175790428838,1.6145887184764498
17,50000,-0.07889297800277784,0.0,0.02165008756458464,1.0037352357217835,-0.5249121984909351,0.0,0.4022908178563842,0.9527510271673546,1.5228450616941638
18,50000,0.042409291929291375,0.0,0.019003041150822853,0.9830469349849131,-0.42266466436524047,0.0,0.508451827970304,1.1221272609119537,1.762251305473953
19,50000,0.001560807196803599,0.0,0.009525180369902575,0.9794264472866463,-0.46658739886642103,0.0,0.4648104159687253,1.058153379142351,1.7080270545062308
