source,stage,n,mu_hat,alpha_hat,ks_stat,mean,sd,q01,q50,q99,transition,transition_label,emp_q01,emp_q99,frac_outside_emp_1_99
empirical,B. years 1-4,6933,-0.04163272439827281,3.880758187235835,0.10286276424490459,0.8016822878054539,5.383435606224139,-12.94483378412551,-0.04163272439827281,14.96374744468787,active_to_active,active → active,-12.94483378412551,14.96374744468787,
hurdle_ar1_pg_zr_pad_se,B. years 1-4,155753,0.6336628658440677,4.614211639233723,0.03862250657565555,0.9642055605575274,7.6334839123902976,-20.089022000806633,0.6336628658440677,24.76068148067892,active_to_active,active → active,-12.94483378412551,14.96374744468787,0.06111599776569312
empirical,C. years 5-7,5159,-0.2749545490977976,3.977837899666588,0.07914968960797275,-0.483646063541846,5.607226416468631,-15.039792435935285,-0.2749545490977976,15.3427190681255,active_to_active,active → active,-15.039792435935285,15.3427190681255,
hurdle_ar1_pg_zr_pad_se,C. years 5-7,121300,-0.13186749310571577,4.853599555217391,0.03936926569614241,-0.25913725522263237,8.177704602926909,-24.80787024360439,-0.13186749310571577,23.509134072661304,active_to_active,active → active,-15.039792435935285,15.3427190681255,0.05903544929925804
empirical,D. years 8-20,13042,-0.16149136041654444,3.6263475868231603,0.08720328677408007,-0.3046828128188147,5.165246032431425,-14.437688667385412,-0.16149136041654444,14.204637648150985,active_to_active,active → active,-14.437688667385412,14.204637648150985,
hurdle_ar1_pg_zr_pad_se,D. years 8-20,466904,0.0055071676653919354,4.377814764643156,0.04597010069548946,-0.010705878230799203,7.893213023166869,-22.809510090641638,0.0055071676653919354,23.207732523788657,active_to_active,active → active,-14.437688667385412,14.204637648150985,0.05593226873190206
empirical,B. years 1-4,817,4.063429644322265,2.700016588526714,0.16461365823303062,5.24374331161144,3.7934397152309227,1.1576890907294637,4.063429644322265,18.254220362188523,inactive_to_active,inactive → active,1.1576890907294637,18.254220362188523,
hurdle_ar1_pg_zr_pad_se,B. years 1-4,19341,2.655864771285453,2.8057231859119818,0.19403996014531388,3.990663489566649,4.170455496690771,0.04366489154117743,2.655864771285453,19.349391868382703,inactive_to_active,inactive → active,1.1576890907294637,18.254220362188523,0.2687554935111938
empirical,C. years 5-7,449,3.600009730581166,2.705613643253057,0.19547107967321187,4.852957419254771,4.123068973829454,1.0903626678257634,3.600009730581166,19.56781395204399,inactive_to_active,inactive → active,1.0903626678257634,19.56781395204399,
hurdle_ar1_pg_zr_pad_se,C. years 5-7,10498,2.59056557433076,2.7355057200094643,0.19396943687706394,3.8835250703764674,4.059346379978013,0.0367719052196843,2.59056557433076,18.938476544177806,inactive_to_active,inactive → active,1.0903626678257634,19.56781395204399,0.2617641455515336
empirical,D. years 8-20,1526,2.7131713999282603,1.8991320159277125,0.20925337118669748,3.6447450343216627,3.042125543308222,1.0589091392016494,2.7131713999282603,17.778756193753477,inactive_to_active,inactive → active,1.0589091392016494,17.778756193753477,
hurdle_ar1_pg_zr_pad_se,D. years 8-20,46687,2.615178493922323,2.7071462279488863,0.19029720244205964,3.860877005858974,4.011280198949672,0.03600562504826871,2.615178493922323,18.736596947102242,inactive_to_active,inactive → active,1.0589091392016494,17.778756193753477,0.25868014650759313
