year,n_zero_transitions,observed_restart_rate,restart_intercept,restart_scholar_coef_per_tau,pred_restart_u_low,pred_restart_u_mid,pred_restart_u_high
0,434,0.619815668202765,0.5775396979723298,0.28817476888171817,0.5718406499542631,0.6405010946072953,0.7038531859293353
1,433,0.6836027713625866,0.8718527450514821,0.28817476888171817,0.6419132687802181,0.7051310694069988,0.7613377142320323
2,323,0.6377708978328174,0.6964081947665459,0.28817476888171817,0.6006642119672326,0.6673909422030452,0.7280166294113009
3,258,0.6201550387596899,0.6281644533707552,0.28817476888171817,0.5841880171722876,0.652073141155429,0.7142956101784613
4,262,0.5916030534351145,0.5091747050497658,0.28817476888171817,0.5550262050276344,0.6246129861477349,0.6894072225997738
5,258,0.5581395348837209,0.37141957378350665,0.28817476888171817,0.5207991916035165,0.5918019529194004,0.6591692572718414
6,262,0.5916030534351145,0.5324526880596211,0.28817476888171817,0.560767604359752,0.6300549806160383,0.6943695155659756
7,253,0.5928853754940712,0.5386673908673357,0.28817476888171817,0.5622977482301655,0.6315023644719145,0.6956868073890474
8,275,0.5927272727272728,0.5377591913645593,0.28817476888171817,0.5620742104531795,0.6312909947444082,0.6954945013295922
9,259,0.5173745173745173,0.22361233627507762,0.28817476888171817,0.48386499609743694,0.5556713019120367,0.6252253201034761
10,276,0.5471014492753623,0.33369597295647935,0.28817476888171817,0.5113783362564569,0.5826583913080319,0.6506438999419322
11,266,0.5451127819548872,0.3318199335453096,0.28817476888171817,0.5109095594188702,0.5822021287060177,0.6502173437226032
12,259,0.5135135135135135,0.21174805685116505,0.28817476888171817,0.48090261680614943,0.5527401012698903,0.6224411947912027
13,241,0.4979253112033195,0.13476770250702938,0.28817476888171817,0.46172327015880976,0.5336410244070711,0.6041871425835826
14,257,0.5291828793774319,0.2546446120111114,0.28817476888171817,0.4916182460481689,0.5633193661051366,0.6324680335076217
15,230,0.5434782608695652,0.2993920826527311,0.28817476888171817,0.5028042990378401,0.5742938996422203,0.6428066739177029
16,219,0.5068493150684932,0.15048279129501763,0.28817476888171817,0.46563128838451917,0.5375498646089477,0.607939107762483
17,202,0.48514851485148514,0.05315532797756168,0.28817476888171817,0.44151409382992957,0.5132857039242874,0.5845135831405509
18,219,0.4931506849315068,0.08535345089837158,0.28817476888171817,0.4494677783615311,0.5213254176146955,0.5923112448202569
19,193,0.5284974093264249,0.221714217009508,0.28817476888171817,0.483390975094047,0.5552026055382366,0.6247804498092748
