year,n,mean_log_delta,median_log_delta,mode_log_delta,var_log_delta,q25_log_delta,q50_log_delta,q75_log_delta,q90_log_delta,q95_log_delta
0,10000,0.1200460259800223,0.0,0.07604202980483166,1.8505086992934805,-0.739820177302583,0.0,0.9937463566059634,1.926993051793401,2.4500175136884534
1,10000,0.26969748420369977,0.17382981921350882,-0.021835735597020456,1.3796885368395557,-0.3218126371131449,0.17382981921350882,0.8894682934293782,1.7841583797423768,2.426324110299889
2,10000,0.18781098876483968,0.10901285589260057,-0.020619772730899655,1.1468324237917586,-0.32652951815714026,0.10901285589260057,0.7210248603406237,1.4844971758703598,2.107291861990852
3,10000,0.08195564534974036,0.03799013178735877,-0.03405877735650886,1.1333226326698536,-0.43755488738861853,0.03799013178735877,0.613748894567725,1.3041960606930456,1.9516333742617584
4,10000,0.020692383610028692,0.0,-0.027813412846188434,1.079580687518564,-0.4694902726909434,0.0,0.5424724566592856,1.1695738879940598,1.7823020647697572
5,10000,-0.05291025300124286,0.0,-0.035357237388913276,0.9893588448974991,-0.5442784274486754,0.0,0.44464009481078975,1.0210969402563734,1.5912494781035016
6,10000,-0.044910891149374764,0.0,0.03904896902480459,1.0546361491004888,-0.5319567298224148,0.0,0.4567787085500719,1.08357602264217,1.6523975970673208
7,10000,-0.08417077661219696,-0.019897373194005086,-0.029851555199537305,1.1565370530238375,-0.602941468730839,-0.019897373194005086,0.4269314314526478,1.0850539973852573,1.8003967861065904
8,10000,-0.010159763619549265,0.0,-0.005016066836621036,1.1198792604964622,-0.5282957629063556,0.0,0.4987135430538671,1.1599971505942357,1.8553359628342845
9,10000,-0.06796404334836104,0.0,0.018392949511164325,1.0527421896915676,-0.5717635737796197,0.0,0.4264054614459977,1.0464259570764662,1.6120935245420012
10,10000,-0.026911409006107122,0.0,0.023255382230986665,1.0946783044183876,-0.5512144873692855,0.0,0.4748060635552481,1.1321388531543444,1.776679546937454
11,10000,-0.02954230213617547,0.0,0.03603435314228154,1.0942657287357256,-0.5440920177868732,0.0,0.47951325914545334,1.1200638488412917,1.8124573669801671
12,10000,-0.031057080140505348,0.0,0.027345958282085192,1.115947149333912,-0.5569496376012067,0.0,0.4658027243929486,1.1517450882609745,1.8638972035934223
13,10000,-0.0979349581325463,-0.0005643154251384619,-0.036503862429610345,1.112630537287045,-0.6103451733982417,-0.0005643154251384619,0.3989161006903964,1.053608647676587,1.7437598642448846
14,10000,0.004996497457393748,0.0,0.022956611520813297,1.1395385168659549,-0.5187206331710459,0.0,0.5146622381145609,1.2398661252147276,1.9435583661825149
15,10000,-0.0015440447624800767,0.0,-0.003712151113694162,1.2193981037970913,-0.5634806607654476,0.0,0.5440117557636346,1.2718275652278332,2.0212067341989433
16,10000,0.029906942901706087,0.0,0.013937325959769709,1.1413314545525377,-0.4736181724901402,0.0,0.520224690114987,1.252822544644881,1.949798840658073
17,10000,-0.12004050091440527,0.0,0.014326953104529583,1.2075736563876351,-0.6418212149897065,0.0,0.39402957761139296,1.0770628201374475,1.857194876030832
18,10000,0.02626860711981791,0.0,-0.03257684005627226,1.2187916215208443,-0.5087183319599556,0.0,0.5348400135154793,1.309100641839667,2.1627605243422883
19,10000,-0.005161826899953654,0.0,0.016009968742317415,1.2611552305484905,-0.5561663176612415,0.0,0.4896677985858335,1.3475799624750386,2.1785257448379296
