year,n,frac_zero,mean_prod,median_prod,mean_log_prod_pos,var_log_prod_pos,q25_prod,q50_prod,q75_prod,q90_prod,q95_prod
0,10000,0.2198,4.249700462415967,2.4017524208788457,1.1122561453278395,1.7010345159419389,0.21663213543172946,2.4017524208788457,6.238970750839927,11.22280383204422,14.872387405123808
1,10000,0.2203,4.467974293685945,3.083447900551601,1.3736142268323928,0.859288134757996,0.7235647879161107,3.083447900551601,6.115778450822248,10.377436520184451,14.06754389641013
2,10000,0.1639,5.742401830851077,4.2255311235320185,1.5672482631545457,0.8644924882080447,1.6756736845635842,4.2255311235320185,7.713507769984757,12.861443115054314,17.09940010509702
3,10000,0.13,6.832004981545638,4.997836646272139,1.7065189570292332,0.8419721728458222,2.290524764633489,4.997836646272139,9.053883894313431,14.977481969224762,19.993053458318307
4,10000,0.1261,7.450615875746648,5.44147658060457,1.8040099629515842,0.7657153321459795,2.635826135606681,5.44147658060457,9.824704483593,16.030913966237627,21.694765177051636
5,10000,0.1247,7.598842690381359,5.573833427576497,1.8250872891140069,0.7723082496725912,2.705037056214594,5.573833427576497,10.04604676524757,16.61876399206771,22.450672319504484
6,10000,0.1293,7.137210279424391,5.213242106954329,1.7775463661390984,0.7180715827505314,2.531218972561784,5.213242106954329,9.465103064632826,15.565025601268715,20.679777786047094
7,10000,0.1307,6.865764408263652,4.969253428621338,1.7201717610562415,0.785029044676343,2.320460133818722,4.969253428621338,9.030335535849064,15.051202371655117,20.38800875065306
8,10000,0.1471,6.294680509694484,4.584317212620537,1.669823840504863,0.7171362120313189,2.106533859512587,4.584317212620537,8.418112608915681,13.884300494857,18.54142479375183
9,10000,0.1404,6.22385142834976,4.459620041164538,1.629925836941955,0.7814229734975869,2.028855374577017,4.459620041164538,8.2376683651839,13.534379684080939,18.54691039045821
10,10000,0.1633,5.999144820867675,4.238806789558595,1.6148020240473537,0.787666715731606,1.7665221094128332,4.238806789558595,7.988906011646072,13.253749064057352,18.25487099485429
11,10000,0.1652,5.903864647024205,4.074747079431905,1.5831493418167524,0.8192406767450947,1.6142465149434548,4.074747079431905,7.876790008751273,13.239004864485734,17.884377256164054
12,10000,0.1697,5.656965344098875,3.9746167890071407,1.5580666495629811,0.8033688873290282,1.5999185152388966,3.9746167890071407,7.561569235314508,12.945348500123256,17.319389655696998
13,10000,0.1735,5.550227377165696,3.79427203975047,1.5254075201941817,0.8497126956342523,1.448886841253588,3.79427203975047,7.377016272629995,12.774206779262077,17.512053470777698
14,10000,0.1978,5.124610027531556,3.4197254157839856,1.4686155465647077,0.8516998217739552,1.1716692110870905,3.4197254157839856,6.7423315333628935,12.065523186281805,16.867707460751358
15,10000,0.1962,5.250356456360944,3.4126343580643157,1.466615335228134,0.9051270294598663,1.1325572618235458,3.4126343580643157,6.9572063980050896,12.344539491771945,16.65689150284274
16,10000,0.1991,5.147348846901677,3.4590514818656617,1.4764920767018093,0.8641517028107791,1.1010791501406272,3.4590514818656617,6.936806731060651,12.259999564832544,16.359681685592218
17,10000,0.1953,5.42596217072539,3.534330814272615,1.506571549631387,0.8771806253727945,1.1793477385919109,3.534330814272615,7.153162991178629,12.798551301258739,17.500023293196076
18,10000,0.2356,4.979266314361977,3.216141564868995,1.4676036266503254,0.8978169817830643,0.4978129443626776,3.216141564868995,6.5585204657733165,11.948215529895718,16.57265370683823
19,10000,0.226,5.103157284834208,3.2861235991220754,1.4689978631434053,0.9453704403176032,0.691101296762211,3.2861235991220754,6.7867438364027945,12.040610958861553,16.95159234009212
20,10000,0.2136,5.103158670847236,3.0916459622472043,1.4134202875806168,1.0300524627119678,0.7705039088394007,3.0916459622472043,6.574046015290331,12.235824149525044,17.27630402807558
