source,stage,n,mu_hat,alpha_hat,ks_stat,mean,sd,q01,q50,q99,transition,transition_label,emp_q01,emp_q99,frac_outside_emp_1_99
empirical,B. years 1-4,6933,-0.04163272439827281,3.880758187235835,0.10286276424490459,0.8016822878054539,5.383435606224139,-12.94483378412551,-0.04163272439827281,14.96374744468787,active_to_active,active → active,-12.94483378412551,14.96374744468787,
Hurdle-AR(1)-GRW-P-SE,B. years 1-4,30501,0.604322075149136,4.754388231965394,0.03454496817720776,0.8788182439664634,7.682961816719945,-20.468737294510277,0.604322075149136,24.674102850827193,active_to_active,active → active,-12.94483378412551,14.96374744468787,0.061538965935543095
empirical,C. years 5-7,5159,-0.2749545490977976,3.977837899666588,0.07914968960797275,-0.483646063541846,5.607226416468631,-15.039792435935285,-0.2749545490977976,15.3427190681255,active_to_active,active → active,-15.039792435935285,15.3427190681255,
Hurdle-AR(1)-GRW-P-SE,C. years 5-7,23745,-0.27744267241537024,4.691980520411897,0.030722280064024998,-0.4887860313219164,7.43032408352923,-22.90716830923432,-0.27744267241537024,20.677197431444124,active_to_active,active → active,-15.039792435935285,15.3427190681255,0.05028427037271004
empirical,D. years 8-20,13042,-0.16149136041654444,3.6263475868231603,0.08720328677408007,-0.3046828128188147,5.165246032431425,-14.437688667385412,-0.16149136041654444,14.204637648150985,active_to_active,active → active,-14.437688667385412,14.204637648150985,
Hurdle-AR(1)-GRW-P-SE,D. years 8-20,86001,-0.10699227301410996,4.097848638619602,0.03374568260223587,-0.16695020826695736,6.831077056285851,-20.07091150928848,-0.10699227301410996,19.797383346715943,active_to_active,active → active,-14.437688667385412,14.204637648150985,0.04489482680433948
empirical,B. years 1-4,817,4.063429644322265,2.700016588526714,0.16461365823303062,5.24374331161144,3.7934397152309227,1.1576890907294637,4.063429644322265,18.254220362188523,inactive_to_active,inactive → active,1.1576890907294637,18.254220362188523,
Hurdle-AR(1)-GRW-P-SE,B. years 1-4,4052,3.018576569454418,2.9873705662166667,0.18203471317102662,4.304795547510126,4.37354272604569,0.03569713750785976,3.018576569454418,20.03120200566565,inactive_to_active,inactive → active,1.1576890907294637,18.254220362188523,0.2509871668311945
empirical,C. years 5-7,449,3.600009730581166,2.705613643253057,0.19547107967321187,4.852957419254771,4.123068973829454,1.0903626678257634,3.600009730581166,19.56781395204399,inactive_to_active,inactive → active,1.0903626678257634,19.56781395204399,
Hurdle-AR(1)-GRW-P-SE,C. years 5-7,2184,2.9094191687519766,2.9955488835135453,0.18945216443498067,4.299239588730899,4.343495727158996,0.05261908709397601,2.9094191687519766,19.691758460700296,inactive_to_active,inactive → active,1.0903626678257634,19.56781395204399,0.2358058608058608
