prod_bin,n,dropout_rate,mean_q_t,median_q_t,source,bin_mid,se,lower,upper
"(1.0890000000000002, 2.181]",3760,0.20079787234042554,1.5584083617975284,1.5020676207365846,Empirical,1.5584083617975284,0.006533019381197491,0.18799315435327846,0.21360259032757262
"(2.181, 3.229]",3687,0.17493897477624085,2.6872657080242495,2.6448091533287252,Empirical,2.6872657080242495,0.006256763736525451,0.16267571785265098,0.18720223169983072
"(3.229, 4.419]",3575,0.13454545454545455,3.8156066603447307,3.811036551090419,Empirical,3.8156066603447307,0.005707141280558506,0.12335945763555987,0.14573145145534921
"(4.419, 5.829]",3700,0.0872972972972973,5.131218223869673,5.084821644986893,Empirical,5.131218223869673,0.004640493892105829,0.07820192926876987,0.09639266532582472
"(5.829, 7.622]",3631,0.07353346185623795,6.704440421058591,6.691237871384211,Empirical,6.704440421058591,0.0043315591654849534,0.06504360589188744,0.08202331782058846
"(7.622, 10.037]",3711,0.0479655079493398,8.73254340585258,8.706188398954271,Empirical,8.73254340585258,0.003507885331342044,0.04109005269990939,0.05484096319877021
"(10.037, 14.001]",3592,0.028953229398663696,11.763405479854308,11.65745760505647,Empirical,11.763405479854308,0.002797695316323175,0.023469746578670275,0.03443671221865712
"(14.001, 80.687]",3666,0.019094380796508457,20.622868613375385,18.3927022890417,Empirical,20.622868613375385,0.0022603212635686877,0.01466415111991383,0.023524610473103086
"(1.0890000000000002, 2.181]",108910,0.10242401983288954,1.6596048258397433,1.6702542991522185,Simulated,1.6596048258397433,0.0009187611872120881,0.10062324790595385,0.10422479175982523
"(2.181, 3.229]",111920,0.0973999285203717,2.700733064570555,2.699501917556663,Simulated,2.700733064570555,0.0008862844918768702,0.09566281091629303,0.09913704612445037
"(3.229, 4.419]",112302,0.09854677565849228,3.80554224454531,3.794824618257369,Simulated,3.80554224454531,0.0008894039675621727,0.09680354388207042,0.10029000743491413
"(4.419, 5.829]",106540,0.0981227707903135,5.090936537410086,5.075959512151926,Simulated,5.090936537410086,0.0009113858182218723,0.09633645458659862,0.09990908699402837
"(5.829, 7.622]",98250,0.09848346055979644,6.67248089042917,6.644999623256185,Simulated,6.67248089042917,0.0009506096533476798,0.09662026563923498,0.1003466554803579
"(7.622, 10.037]",87151,0.09682046103888653,8.734745685736028,8.691176075312626,Simulated,8.734745685736028,0.0010016925204995623,0.09485714369870739,0.09878377837906567
"(10.037, 14.001]",78042,0.09597396273801287,11.77684286418743,11.661788956855942,Simulated,11.77684286418743,0.0010543941500131052,0.09390735020398719,0.09804057527203855
"(14.001, 80.687]",86729,0.09560815874736248,21.75613257008393,18.857832422711436,Simulated,21.75613257008393,0.0009984897838144161,0.09365111877108621,0.09756519872363874
