prod_bin,n,dropout_rate,mean_q_t,median_q_t,source,bin_mid,se,lower,upper
"(1.0890000000000002, 2.181]",3760,0.20079787234042554,1.5584083617975284,1.5020676207365846,Empirical,1.5584083617975284,0.006533019381197491,0.18799315435327846,0.21360259032757262
"(2.181, 3.229]",3687,0.17493897477624085,2.6872657080242495,2.6448091533287252,Empirical,2.6872657080242495,0.006256763736525451,0.16267571785265098,0.18720223169983072
"(3.229, 4.419]",3575,0.13454545454545455,3.8156066603447307,3.811036551090419,Empirical,3.8156066603447307,0.005707141280558506,0.12335945763555987,0.14573145145534921
"(4.419, 5.829]",3700,0.0872972972972973,5.131218223869673,5.084821644986893,Empirical,5.131218223869673,0.004640493892105829,0.07820192926876987,0.09639266532582472
"(5.829, 7.622]",3631,0.07353346185623795,6.704440421058591,6.691237871384211,Empirical,6.704440421058591,0.0043315591654849534,0.06504360589188744,0.08202331782058846
"(7.622, 10.037]",3711,0.0479655079493398,8.73254340585258,8.706188398954271,Empirical,8.73254340585258,0.003507885331342044,0.04109005269990939,0.05484096319877021
"(10.037, 14.001]",3592,0.028953229398663696,11.763405479854308,11.65745760505647,Empirical,11.763405479854308,0.002797695316323175,0.023469746578670275,0.03443671221865712
"(14.001, 80.687]",3666,0.019094380796508457,20.622868613375385,18.3927022890417,Empirical,20.622868613375385,0.0022603212635686877,0.01466415111991383,0.023524610473103086
"(1.0890000000000002, 2.181]",21844,0.09947811756088629,1.6603910482312678,1.6749907596163742,Simulated,1.6603910482312678,0.0020250923382772457,0.09550893657786289,0.10344729854390969
"(2.181, 3.229]",22338,0.10072522159548751,2.699854274420994,2.69572242142646,Simulated,2.699854274420994,0.0020136926227162333,0.0967783840549637,0.10467205913601133
"(3.229, 4.419]",22464,0.09544159544159544,3.8090831286191595,3.7995603209413433,Simulated,3.8090831286191595,0.0019603950924037715,0.09159922106048406,0.09928396982270683
"(4.419, 5.829]",21522,0.09734225443731995,5.09175343517773,5.074017376292465,Simulated,5.09175343517773,0.002020556240395512,0.09338196420614474,0.10130254466849516
"(5.829, 7.622]",19788,0.09692743076612088,6.670369559443007,6.6473746812117325,Simulated,6.670369559443007,0.0021032152647142643,0.09280512884728093,0.10104973268496084
"(7.622, 10.037]",17436,0.09589355356733195,8.734227513109778,8.679910774693363,Simulated,8.734227513109778,0.002229877775828593,0.0915229931267079,0.100264114007956
"(10.037, 14.001]",15650,0.09693290734824281,11.78110242063652,11.662820143746522,Simulated,11.78110242063652,0.0023650398185255756,0.09229742930393268,0.10156838539255293
"(14.001, 80.687]",17509,0.09440858986806785,21.71096330408563,18.82205242477314,Simulated,21.71096330408563,0.002209740275086525,0.09007749892889827,0.09873968080723744
