year,n,frac_zero,mean_prod,median_prod,mean_log_prod_pos,var_log_prod_pos,q25_prod,q50_prod,q75_prod,q90_prod,q95_prod
0,10000,0.211,4.249756083748968,2.4448882283746993,1.1029556361312152,1.6620097388714032,0.2680996861011371,2.4448882283746993,6.24593801639463,11.228828806473226,14.765272280094607
1,10000,0.2117,4.293797208292746,2.872933500336237,1.2907114553172687,0.9614402551663316,0.646913134392341,2.872933500336237,5.916468606991243,10.495735329064468,14.120964889416472
2,10000,0.1515,5.503545240734193,3.9725716099911392,1.4894687921744008,0.9162427162201805,1.5579289683881818,3.9725716099911392,7.363954516715233,12.460033563166371,16.566940093382502
3,10000,0.1125,6.6271701730106,4.811354696740544,1.6338700260848535,0.8969391692785968,2.208338493319272,4.811354696740544,8.834546185818418,14.414318299126055,19.304093418454435
4,10000,0.1124,7.075191105753298,5.091079991434929,1.7194270393556073,0.8151621251108722,2.4162035729901383,5.091079991434929,9.441409156922719,15.674080917372223,20.79093868994908
5,10000,0.1144,7.304378680586446,5.378458432758949,1.7708587687465327,0.7586217169690349,2.5736772221572815,5.378458432758949,9.668484524632538,15.880849402306133,21.328648717091646
6,10000,0.1147,6.890515107455712,5.049130660109123,1.7050468688721758,0.7827719514274376,2.3772561333535256,5.049130660109123,9.01365716042829,15.018638639529915,20.678416959019035
7,10000,0.1178,6.632316160316893,4.731801543033671,1.660117512872744,0.7912907431807769,2.2524611886330446,4.731801543033671,8.74377979598176,14.459997407180852,19.52131412329461
8,10000,0.1293,6.264295697917434,4.370578830429939,1.599448137389424,0.8273983815297566,1.9429067668904578,4.370578830429939,8.243967798982883,13.914178791203993,19.0452043738385
9,10000,0.1316,6.12575242168359,4.3323545550402285,1.5855353294429164,0.8279119836834236,1.9116572466567971,4.3323545550402285,8.104061041963906,13.618528172666885,18.454939111345865
10,10000,0.1424,6.033144529741366,4.1629879330443575,1.5580968147912788,0.8847076102116249,1.7371007126375375,4.1629879330443575,7.927900634207027,13.642454382839865,18.532884151703602
11,10000,0.1481,5.7853793795059785,4.01048312807491,1.5224995688679857,0.8910489484732068,1.5772481637630318,4.01048312807491,7.707228996275849,13.267970346067083,18.214772155504612
12,10000,0.1462,5.638316105775077,3.916051324004655,1.5025100072386433,0.8705138500589614,1.5947394945877744,3.916051324004655,7.505397206287826,12.687637499870075,17.15426639616384
13,10000,0.1458,5.586550452415937,3.8018850638756634,1.479102179644543,0.8969042135057953,1.537361676551722,3.8018850638756634,7.407654050249301,12.817310366762227,17.655387691538838
14,10000,0.1659,5.186483438786815,3.4740785625468815,1.424318292636236,0.9027943861510294,1.334470373863052,3.4740785625468815,6.854152549998625,11.909450532278955,16.485194257754344
15,10000,0.1611,5.223694682284147,3.498975848251701,1.4160828981606854,0.9299604596452505,1.3183874736573598,3.498975848251701,6.838489658328505,12.01669240186581,16.50059020292133
16,10000,0.1666,5.187241205539902,3.4094504026217947,1.4239314974892785,0.8964178603099482,1.3177088765401663,3.4094504026217947,6.915740857402544,11.786079109867195,16.637490573352597
17,10000,0.1687,5.33648600628737,3.6175588790664284,1.4597041575339376,0.8937131477048562,1.316747315646523,3.6175588790664284,7.098805932827761,12.343670632320135,16.945381080552075
18,10000,0.1934,4.959752129917577,3.2885071267101855,1.4216293929839543,0.8745148679953801,1.0826516566622126,3.2885071267101855,6.722954245419197,11.704131816980581,15.980300566718906
19,10000,0.1748,5.307142783050952,3.472661715686306,1.4339155570301079,0.9601870497594313,1.2150624902950387,3.472661715686306,6.921608728660544,12.393387283941589,17.075346512188574
20,10000,0.1697,5.240312425951554,3.405218739358692,1.4133731867760646,0.9836286284364305,1.1778029867403192,3.405218739358692,6.948219439069354,12.383527569878797,17.234543640082528
