source,stage,n,mu_hat,alpha_hat,ks_stat,mean,sd,q01,q50,q99,transition,transition_label,emp_q01,emp_q99,frac_outside_emp_1_99
empirical,B. years 1-4,6933,-0.04163272439827281,3.880758187235835,0.10286276424490459,0.8016822878054539,5.383435606224139,-12.94483378412551,-0.04163272439827281,14.96374744468787,active_to_active,active → active,-12.94483378412551,14.96374744468787,
Hurdle-AR(1)-GRW-Y,B. years 1-4,155721,0.7499270734709937,4.133791703899494,0.03602489012401969,1.0295760551005753,6.671585710290002,-17.86607230467297,0.7499270734709937,21.789117006317298,active_to_active,active → active,-12.94483378412551,14.96374744468787,0.047405295367997896
empirical,C. years 5-7,5159,-0.2749545490977976,3.977837899666588,0.07914968960797275,-0.483646063541846,5.607226416468631,-15.039792435935285,-0.2749545490977976,15.3427190681255,active_to_active,active → active,-15.039792435935285,15.3427190681255,
Hurdle-AR(1)-GRW-Y,C. years 5-7,121560,0.018251035646790648,4.361810178683466,0.03407188566339525,-0.06663538473641109,7.190182471657406,-21.422994280407995,0.018251035646790648,21.213082581121373,active_to_active,active → active,-15.039792435935285,15.3427190681255,0.04475156301414939
empirical,D. years 8-20,13042,-0.16149136041654444,3.6263475868231603,0.08720328677408007,-0.3046828128188147,5.165246032431425,-14.437688667385412,-0.16149136041654444,14.204637648150985,active_to_active,active → active,-14.437688667385412,14.204637648150985,
Hurdle-AR(1)-GRW-Y,D. years 8-20,453173,0.12323983859782947,3.739333637441849,0.03743713456062847,0.1590937621772097,6.4180247985978305,-18.575758778669563,0.12323983859782947,19.665330829892046,active_to_active,active → active,-14.437688667385412,14.204637648150985,0.03958753058986303
empirical,B. years 1-4,817,4.063429644322265,2.700016588526714,0.16461365823303062,5.24374331161144,3.7934397152309227,1.1576890907294637,4.063429644322265,18.254220362188523,inactive_to_active,inactive → active,1.1576890907294637,18.254220362188523,
Hurdle-AR(1)-GRW-Y,B. years 1-4,19211,2.982405610233016,2.970751996858331,0.18324112057537134,4.285438265240644,4.266888391419106,0.03999673865024649,2.982405610233016,19.539183312161985,inactive_to_active,inactive → active,1.1576890907294637,18.254220362188523,0.2502212274217896
empirical,C. years 5-7,449,3.600009730581166,2.705613643253057,0.19547107967321187,4.852957419254771,4.123068973829454,1.0903626678257634,3.600009730581166,19.56781395204399,inactive_to_active,inactive → active,1.0903626678257634,19.56781395204399,
Hurdle-AR(1)-GRW-Y,C. years 5-7,10123,2.963966480095519,2.9108525025300267,0.18062893843788716,4.218261830178229,4.174183316947657,0.04671705412771092,2.963966480095519,18.730833516622706,inactive_to_active,inactive → active,1.0903626678257634,19.56781395204399,0.2342191050083967
empirical,D. years 8-20,1526,2.7131713999282603,1.8991320159277125,0.20925337118669748,3.6447450343216627,3.042125543308222,1.0589091392016494,2.7131713999282603,17.778756193753477,inactive_to_active,inactive → active,1.0589091392016494,17.778756193753477,
Hurdle-AR(1)-GRW-Y,D. years 8-20,49550,2.9629788875985614,2.9642239600472404,0.18401722610251792,4.28208402200429,4.273373018410608,0.04085608172450385,2.9629788875985614,19.886909425372874,inactive_to_active,inactive → active,1.0589091392016494,17.778756193753477,0.23247225025227045
empirical,B. years 1-4,642,-3.6510522137856363,2.4839941465824222,0.18013198997463364,-4.898404476087769,3.845451849434643,-18.39468275734683,-3.6510522137856363,-1.2315514575691924,active_to_inactive,active → inactive,-18.39468275734683,-1.2315514575691924,
Hurdle-AR(1)-GRW-Y,B. years 1-4,14378,-4.955788329799692,3.9957735754342987,0.1458440307131077,-6.6577170165924136,6.311316586753957,-30.893893576446008,-4.955788329799692,-0.28754504818715415,active_to_inactive,active → inactive,-18.39468275734683,-1.2315514575691924,0.12936430657949646
empirical,C. years 5-7,469,-3.902056991355255,2.836702639140921,0.18560080891455433,-5.185206539731839,4.451195285059027,-21.92704540462478,-3.902056991355255,-1.1466714696569538,active_to_inactive,active → inactive,-21.92704540462478,-1.1466714696569538,
Hurdle-AR(1)-GRW-Y,C. years 5-7,11090,-5.677628308557966,4.475639383567166,0.14625501474701152,-7.687568350729245,7.263260623226439,-35.001330668724904,-5.677628308557966,-0.43972471873888747,active_to_inactive,active → inactive,-21.92704540462478,-1.1466714696569538,0.08467087466185753
empirical,D. years 8-20,1444,-2.9143644012641174,1.8543443374484385,0.18697428255601967,-3.7597346801358373,2.881083824024215,-14.619694875386537,-2.9143644012641174,-1.1232590248778695,active_to_inactive,active → inactive,-14.619694875386537,-1.1232590248778695,
Hurdle-AR(1)-GRW-Y,D. years 8-20,51645,-4.564184618555159,4.048263424912671,0.1645895050262035,-6.51557535019309,6.655410112346357,-32.5125573080699,-4.564184618555159,-0.3014423213783596,active_to_inactive,active → inactive,-14.619694875386537,-1.1232590248778695,0.16028657178816924
empirical,B. years 1-4,459,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,inactive_to_inactive,inactive → inactive,0.0,0.0,
Hurdle-AR(1)-GRW-Y,B. years 1-4,10690,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,inactive_to_inactive,inactive → inactive,0.0,0.0,0.0
empirical,C. years 5-7,324,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,inactive_to_inactive,inactive → inactive,0.0,0.0,
Hurdle-AR(1)-GRW-Y,C. years 5-7,7227,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,inactive_to_inactive,inactive → inactive,0.0,0.0,0.0
empirical,D. years 8-20,1370,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,inactive_to_inactive,inactive → inactive,0.0,0.0,
Hurdle-AR(1)-GRW-Y,D. years 8-20,45632,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,inactive_to_inactive,inactive → inactive,0.0,0.0,0.0
