year,n,mean_log_delta,median_log_delta,mode_log_delta,var_log_delta,q25_log_delta,q50_log_delta,q75_log_delta,q90_log_delta,q95_log_delta
0,2067,0.02898014056286163,-0.02220178323108335,-0.11229025589269659,1.5868025147899538,-0.5813074454062537,-0.02220178323108335,0.6045540574635728,1.682465008686662,2.251078451828901
1,2143,0.2687576349551875,0.17513595793753578,-0.014094476264325584,1.4311179593049346,-0.24343775556115932,0.17513595793753578,0.8804004766147265,1.8964636982745797,2.3942791973643645
2,2202,0.1733354950732509,0.020041813641681117,-0.0016398630884091325,1.1698987673666221,-0.3084252537866295,0.020041813641681117,0.623638789084199,1.4395705684301916,2.2292306048828276
3,2247,0.05154896690231855,-0.024611203669602677,-0.02415405285190131,1.102586927157448,-0.41764776415338933,-0.024611203669602677,0.5599377758303711,1.209567715982835,1.9373221365366187
4,2259,0.027380029331591848,-0.024852026428610285,-0.02608477930979758,1.0916437615238246,-0.41692198919801027,-0.024852026428610285,0.5040937247719315,1.161922198346722,1.9384081437592058
5,2200,-0.06383115714581852,-0.03149478462417665,0.031501889142847794,1.1187242469641967,-0.549031970209667,-0.03149478462417665,0.36159278441233067,1.015862224209153,1.7796095830510148
6,2142,-0.05334961108795788,-0.03157390167524132,-0.06942017447648485,1.0300304369626487,-0.5615832518888251,-0.03157390167524132,0.4020482127569174,1.1186688934891724,1.7394166858146158
7,2059,-0.08949455421939845,-0.03231050311593764,-0.03880523130470026,1.0892014680960804,-0.6011232226803482,-0.03231050311593764,0.398631562937257,1.141504877206662,1.7963146527896707
8,1985,-0.02528094315856204,-0.028682103095995615,-0.07224243385891227,1.0645074039218112,-0.5416404770988918,-0.028682103095995615,0.49232966860649285,1.1893042607282445,1.8227078420242298
9,1895,-0.06049659590171866,-0.029749089591223132,0.01059608643586607,1.0397725560520146,-0.5726134895863458,-0.029749089591223132,0.4371816945794115,1.1290792494105022,1.7200362153850972
10,1814,-0.016302353414628133,-0.026878573497506775,-0.09252407757281755,1.048077190599003,-0.5462190745618958,-0.026878573497506775,0.4858678291691324,1.1995076044278288,1.7702725248059625
11,1710,-0.04240891008035527,-0.02769515129107325,-0.016533407002937706,1.0437977903971596,-0.5397327747234205,-0.02769515129107325,0.4269479775510041,1.2343739991196427,1.8409735300988757
12,1599,-0.02966735584570475,-0.02768117800113412,0.032922437200686216,0.965985595923542,-0.5469155825102867,-0.02768117800113412,0.43273672427475507,1.2127236430285375,1.7448882418137073
13,1493,-0.0943652503331065,-0.02896839819928798,-0.03391206072133235,0.9957463330245621,-0.58786643654369,-0.02896839819928798,0.34597985245505103,1.1343564508247153,1.7419696457977878
14,1367,0.006188366541041566,-0.021117383111386667,-0.05607052088141429,1.0123454894813837,-0.5130177779968836,-0.021117383111386667,0.4937440441318256,1.2565757823507262,1.8441521750518963
15,1271,-0.008169713824645429,-0.024611203669602677,0.007745566468667642,1.0997055094959618,-0.5542503254060845,-0.024611203669602677,0.5080011983679769,1.3282810804663616,1.9058144832433315
16,1174,0.010939517397835356,-0.024611203669602677,0.038479528025980425,0.9647781005256509,-0.4701378597365014,-0.024611203669602677,0.5056993307205291,1.2546982805108213,1.855918183978134
17,1094,-0.08800082040433463,-0.028762493385151466,-0.028044322474370276,1.0128046011127405,-0.6104258113199428,-0.028762493385151466,0.3328806826928987,1.1780362544477136,1.8166981542240022
18,1023,0.01651525467464193,0.0,0.03867791732968451,0.9784619868666659,-0.48990136746745305,0.0,0.5008596058124374,1.3222107696906658,1.818310664768872
19,957,-0.018984954874867267,-0.025384282992255036,-0.011798939535854869,0.9596519491462429,-0.5441043286709197,-0.025384282992255036,0.49059898408448044,1.2982843148386294,1.6766310777281086
