year,n,mean_log_delta,median_log_delta,mode_log_delta,var_log_delta,q25_log_delta,q50_log_delta,q75_log_delta,q90_log_delta,q95_log_delta
0,50000,0.033682231651185585,0.0,-0.0021238881671319376,1.397349438210635,-0.5127921945192618,0.0,0.5945177573448253,1.4635078578781193,2.2406618576928166
1,50000,0.23385301652581925,0.14394965479788568,-0.018988928485597967,1.2494301404781873,-0.3031512627913645,0.14394965479788568,0.7642596168764739,1.6379278197510208,2.355457910647466
2,50000,0.12932010692023946,0.05210647005166247,0.020926383422130268,1.0514693321486512,-0.367060054386192,0.05210647005166247,0.6037415562282519,1.2859535533813926,2.0278534453182906
3,50000,0.019094629729111162,0.0,-0.026189105664546908,1.0377785021918118,-0.47381998875759207,0.0,0.5062686702908492,1.1156904106698546,1.7827197805267754
4,50000,0.009041941234327342,0.0,-0.0016247916817868635,1.0110561053174376,-0.46974236404648684,0.0,0.47556735181407733,1.0833758198521375,1.7441697452679898
5,50000,-0.07758551361057026,-0.03779190315757569,0.005693322243146337,1.0455993115486706,-0.5750284514950559,-0.03779190315757569,0.3804987767781036,0.9993209015939772,1.7244071262372227
6,50000,-0.04503518467611011,-0.021807438565318193,0.011130948028442944,1.0337294468765217,-0.548571703746101,-0.021807438565318193,0.39666467032881986,1.0462016578687556,1.8503438533255256
7,50000,-0.07385138059992555,-0.03907152801245742,-0.018113750528588213,1.092136274748244,-0.5911713839085074,-0.03907152801245742,0.39969094856318754,1.0673622079206848,1.8153102565622026
8,50000,-0.0020485502774504985,0.0,-8.696893208393064e-05,1.0824907601444254,-0.5226024077324548,0.0,0.45351533594811066,1.1781484129021373,1.9759209163952742
9,50000,-0.04677063972557277,-0.0008154361744707739,-0.002540259105523468,1.0274884672004334,-0.5455937396255525,-0.0008154361744707739,0.41311308931504287,1.0609529938608795,1.7599904812772478
10,50000,-0.0070574207952003335,0.0,0.01002955323740995,1.0713809644687482,-0.5106148654827324,0.0,0.44480326465161013,1.1495797577150326,1.9175633136276664
11,50000,-0.024817429878692357,0.0,0.022125676980290887,1.0646263115817736,-0.5291819816760268,0.0,0.4178119029300995,1.116646501898171,1.9168559355593033
12,50000,-0.014218603531575677,0.0,-0.021655580427281773,1.0428790367084488,-0.52991283184515,0.0,0.42823018203296737,1.1409597846462036,1.9155130629173647
13,50000,-0.08175288370705172,-0.030687583891792714,0.021076789923857753,1.064229126259816,-0.5884570531866868,-0.030687583891792714,0.3535846039203425,1.0459915509573672,1.8476619394033837
14,50000,0.02602260022236771,0.0,-0.025985159507408984,1.106152959913598,-0.4859286620900207,0.0,0.47746524390985373,1.23412205430382,2.049332418514317
15,50000,0.007682968489975672,0.0,-0.024909110141952073,1.1402454233722672,-0.5203553938775646,0.0,0.47466273755664884,1.2513396899021412,2.049095462422312
16,50000,0.017410473759419128,0.0,0.006193849900917758,1.0857553844540653,-0.47714434432463704,0.0,0.46362577817671025,1.1907272962934055,2.0116482469186012
17,50000,-0.09487380710894194,-0.014458958354714266,-0.008816231334417779,1.1587279441189233,-0.600630231539167,-0.014458958354714266,0.35452397025620314,1.0584878739547554,1.925609410747604
18,50000,0.0437669191744636,0.0,0.006519961729355206,1.148888317586207,-0.4704305989611566,0.0,0.4865819085455645,1.3165901323939586,2.1409525443041666
19,50000,0.009048033816665593,0.0,-0.013936212574928941,1.1212339267890354,-0.5187128768925041,0.0,0.4486442204749188,1.2450296443194933,2.084625250997
