source,stage,n,mu_hat,alpha_hat,ks_stat,mean,sd,q01,q50,q99,transition,transition_label,emp_q01,emp_q99,frac_outside_emp_1_99
empirical,B. years 1-4,6933,-0.04163272439827281,3.880758187235835,0.10286276424490459,0.8016822878054539,5.383435606224139,-12.94483378412551,-0.04163272439827281,14.96374744468787,active_to_active,active → active,-12.94483378412551,14.96374744468787,
Hurdle-TGRW-PG-ZD,B. years 1-4,151617,0.24566662875784212,5.505861060406941,0.07969891952248359,0.8884091448112637,9.699869342830416,-26.839736840418176,0.24566662875784212,32.7524832828405,active_to_active,active → active,-12.94483378412551,14.96374744468787,0.09603804322734258
empirical,C. years 5-7,5159,-0.2749545490977976,3.977837899666588,0.07914968960797275,-0.483646063541846,5.607226416468631,-15.039792435935285,-0.2749545490977976,15.3427190681255,active_to_active,active → active,-15.039792435935285,15.3427190681255,
Hurdle-TGRW-PG-ZD,C. years 5-7,114907,-0.27685327350885114,5.537798462428198,0.07665960768138336,-0.6537383450608384,9.982363669438357,-31.54141620791163,-0.27685327350885114,29.003139245770313,active_to_active,active → active,-15.039792435935285,15.3427190681255,0.08751425065487742
empirical,D. years 8-20,13042,-0.16149136041654444,3.6263475868231603,0.08720328677408007,-0.3046828128188147,5.165246032431425,-14.437688667385412,-0.16149136041654444,14.204637648150985,active_to_active,active → active,-14.437688667385412,14.204637648150985,
Hurdle-TGRW-PG-ZD,D. years 8-20,428516,-0.1351867460214642,4.920307596218892,0.07029576028692752,-0.26346364422306345,9.008619658170677,-27.79065508185073,-0.1351867460214642,27.055965089198324,active_to_active,active → active,-14.437688667385412,14.204637648150985,0.07775905683801772
empirical,B. years 1-4,817,4.063429644322265,2.700016588526714,0.16461365823303062,5.24374331161144,3.7934397152309227,1.1576890907294637,4.063429644322265,18.254220362188523,inactive_to_active,inactive → active,1.1576890907294637,18.254220362188523,
Hurdle-TGRW-PG-ZD,B. years 1-4,20446,3.0406633110045274,3.022219717219456,0.18282862251446044,4.349463382763943,4.323259322923568,0.047005914399011126,3.0406633110045274,19.979725784874745,inactive_to_active,inactive → active,1.1576890907294637,18.254220362188523,0.2503179105937592
empirical,C. years 5-7,449,3.600009730581166,2.705613643253057,0.19547107967321187,4.852957419254771,4.123068973829454,1.0903626678257634,3.600009730581166,19.56781395204399,inactive_to_active,inactive → active,1.0903626678257634,19.56781395204399,
Hurdle-TGRW-PG-ZD,C. years 5-7,12672,3.072613538756994,2.9969101306803405,0.1793854765076496,4.350484503358205,4.34747666771233,0.042290582294167156,3.072613538756994,20.08395701025625,inactive_to_active,inactive → active,1.0903626678257634,19.56781395204399,0.23405934343434343
empirical,D. years 8-20,1526,2.7131713999282603,1.8991320159277125,0.20925337118669748,3.6447450343216627,3.042125543308222,1.0589091392016494,2.7131713999282603,17.778756193753477,inactive_to_active,inactive → active,1.0589091392016494,17.778756193753477,
Hurdle-TGRW-PG-ZD,D. years 8-20,60001,2.9631462053509643,2.9719861950886366,0.18448874901977094,4.284709903378286,4.314282958131501,0.041813115464298084,2.9631462053509643,20.086239511817816,inactive_to_active,inactive → active,1.0589091392016494,17.778756193753477,0.2365127247879202
empirical,B. years 1-4,642,-3.6510522137856363,2.4839941465824222,0.18013198997463364,-4.898404476087769,3.845451849434643,-18.39468275734683,-3.6510522137856363,-1.2315514575691924,active_to_inactive,active → inactive,-18.39468275734683,-1.2315514575691924,
Hurdle-TGRW-PG-ZD,B. years 1-4,16817,-2.30983391467083,2.611030776189564,0.20648617441295525,-3.681308470004402,4.357325644850256,-20.76461608874191,-2.30983391467083,-0.05113242844183602,active_to_inactive,active → inactive,-18.39468275734683,-1.2315514575691924,0.31164892668133437
empirical,C. years 5-7,469,-3.902056991355255,2.836702639140921,0.18560080891455433,-5.185206539731839,4.451195285059027,-21.92704540462478,-3.902056991355255,-1.1466714696569538,active_to_inactive,active → inactive,-21.92704540462478,-1.1466714696569538,
Hurdle-TGRW-PG-ZD,C. years 5-7,13902,-2.2095362581956652,2.7987334025395803,0.2270458025108466,-3.7730292319280694,4.845472233402219,-22.45804877279728,-2.2095362581956652,-0.03809534505781845,active_to_inactive,active → inactive,-21.92704540462478,-1.1466714696569538,0.31722054380664655
empirical,D. years 8-20,1444,-2.9143644012641174,1.8543443374484385,0.18697428255601967,-3.7597346801358373,2.881083824024215,-14.619694875386537,-2.9143644012641174,-1.1232590248778695,active_to_inactive,active → inactive,-14.619694875386537,-1.1232590248778695,
Hurdle-TGRW-PG-ZD,D. years 8-20,61805,-1.9042834060677454,2.363036328243603,0.22335281085468106,-3.205958130637137,4.022055866968277,-19.039577759381277,-1.9042834060677454,-0.033584292870457416,active_to_inactive,active → inactive,-14.619694875386537,-1.1232590248778695,0.3600355958255805
empirical,B. years 1-4,459,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,inactive_to_inactive,inactive → inactive,0.0,0.0,
Hurdle-TGRW-PG-ZD,B. years 1-4,11120,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,inactive_to_inactive,inactive → inactive,0.0,0.0,0.0
empirical,C. years 5-7,324,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,inactive_to_inactive,inactive → inactive,0.0,0.0,
Hurdle-TGRW-PG-ZD,C. years 5-7,8519,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,inactive_to_inactive,inactive → inactive,0.0,0.0,0.0
empirical,D. years 8-20,1370,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,inactive_to_inactive,inactive → inactive,0.0,0.0,
Hurdle-TGRW-PG-ZD,D. years 8-20,49678,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,inactive_to_inactive,inactive → inactive,0.0,0.0,0.0
